ban;rp_name;name;address_city;address_town;address_village;address_lin;address_road;amount;con_date;update_user;update_time
d4d5351c;Steel benchmark;福建省 Cheese Tactics;Concrete a;applicatio;Incredible;Computer C;Coordinato;28771;2022-06-01T11:59:10;南路 Computer;2022-06-01T12:57:58
2a83207a;USB District National;morph;Lebanese F;Home;Shoes HTTP;Cotton Des;Small;24844;2022-06-01T11:58:18;Berkshire;2022-06-01T05:12:48
612a2cab;calculate;南路 invoice;Baby Bedfo;info-media;heuristic ;Jordanian ;purple whi;59948;2022-06-01T00:32:40;Tasty Armenian;2022-06-01T02:16:37
95e78f77;Ball Architect platforms;up Internal;Frozen;Sleek defi;ubiquitous;Sudan quan;internet p;44316;2022-06-01T10:16:45;Shoes;2022-06-01T06:32:52
9749247d;conglomeration;Avon Polarised;Money Re-c;台灣省;Account;福建省 Buckin;台灣省 experi;39018;2022-06-01T01:05:56;Guarani;2022-06-01T12:43:02
9d88b2b7;Bedfordshire e-services;strategic;neural-net;Metal;Palau;wireless;CSS;1532;2022-06-01T03:50:45;Wooden installation;2022-05-31T14:52:33
b7efab66;synthesize generate killer;Cote;reintermed;台灣省;National s;reinvent v;global con;6239;2022-05-31T16:40:45;Account;2022-06-01T10:37:29
a9ff9e9c;Accountability Pants Croatian;visualize PCI adapter;purple;niches app;web-readin;Security;definition;14334;2022-06-01T12:20:59;Rubber Computers;2022-06-01T09:20:16
3652131d;unleash Regional Checking;bricks-and-clicks;demand-dri;port marke;Towels;methodolog;Soap;77221;2022-05-31T15:51:37;invoice;2022-06-01T03:33:46
43cf6533;Loan pink solid;Re-engineered;bandwidth;Planner;PNG delive;Forward Ma;expedite 福;78598;2022-06-01T07:17:02;Fresh;2022-06-01T07:19:36
