id;wkut;prjno;chg_date;mdy_press;dsts;mdy_reson;merge_no;u_ip;ok_no;merge_name;mdy_remark;remark;remark_1;remark_2;old_date;new_date;chg_rate;old_add_amt;old_subtract_amt;old_amt;add_amt;subtract_amt;new_amt;dlyd_1;dlyd_2;dlyd_3;dlyd_4;dlyd_5;n_days;mergect_sum;create_user;create_date;update_user;update_date
1;cross-media Strategis;Franc yellow;2022-05-16;N;S;Kw;invoice Persistent;Dynamic Card HTTP;navigate;Baby Sweden;南路;Granite;路 circuit black;街 Public-key USB;2022-05-16;2022-05-16;86419;9121;4670;34026;66151;7666;81798;51665;53717;49400;96301;84103;94010;5565;Keyboard;2022-05-16T12:54:52;workforce ADP Graphi;2022-05-16T10:48:25
2;Pizza hacking;monitor Wooden;2022-05-16;C;C;Me;南路 西路 RAM;wireless Borders;Dong invoice Checking;Intelligent;Mobility Dynamic pixel;Optimization capacity;Administrator 路;Fresh Fantastic;2022-05-16;2022-05-16;76339;35417;78559;40584;12620;83661;34959;10545;84538;21081;25362;42969;40594;19240;Handmade Accountabil;2022-05-17T06:13:33;optical;2022-05-17T03:43:01
3;Sports;Solutions;2022-05-17;R;P;TC;Metal online;Cambridgeshire Account Bacon;Total e-enable neural;quantifying;Borders;Tunisian;Response Research Cross-platform;Wooden;2022-05-16;2022-05-16;46107;9559;47913;30362;55067;57415;66680;36698;87619;40812;2406;42539;61880;3600;Cheese;2022-05-17T01:10:40;impactful eyeballs C;2022-05-16T12:33:06
4;tan Fresh;Lempira deposit protocol;2022-05-17;I;R;gl;interface Jamaica ra;西路 models Account;web Interactions Koruna;Investor;Monitored;quantifying Supervisor and;Steel Pizza;iterate;2022-05-17;2022-05-16;36730;14286;1880;41131;69889;50463;93092;1954;42913;87428;82984;8656;39988;39851;Chips SMTP Hat;2022-05-17T00:55:57;hack;2022-05-17T05:55:56
5;SDD;Kids;2022-05-16;H;t;en;THX green Toys;街 Costa Division;北路 Synergistic Fish;cyan reboot;Loan;Table;compress;interfaces encryption;2022-05-16;2022-05-16;9935;20413;6835;55866;89606;13336;16971;75679;94813;77397;91189;58904;67049;38095;Loan Chips;2022-05-16T18:28:06;Intelligent Function;2022-05-16T16:07:54
6;Tuna;街 connect;2022-05-17;p;A;Me;bandwidth;purple;platforms transparent open-source;Executive Granite;channels;purple enterprise;Re-contextualized Administrator Sleek;local Chief;2022-05-17;2022-05-16;32792;50589;26743;96891;74915;50218;42235;42604;65568;4493;71656;50611;91030;58551;motivating Buckingha;2022-05-17T00:08:09;Ecuador protocol;2022-05-16T10:27:39
7;THX;South 台灣省;2022-05-17;B;o;Is;target fuchsia;Sausages HTTP reboot;Paradigm bleeding-edge;Balanced Representative;Computer;Developer;enhance Accountability;Avon;2022-05-16;2022-05-16;88096;83575;38646;23492;68011;1442;81406;64125;13845;79496;26039;84339;49715;64604;路;2022-05-16T18:56:20;Group orange;2022-05-16T09:23:36
8;overriding Investment;synthesizing;2022-05-16;q;C;Gl;南路;up Barbados hacking;payment;Integration Pants Jewelery;PNG architect;cyan Concrete;copy Avon Global;Practical input Trinidad;2022-05-16;2022-05-16;46299;60432;27331;50176;95759;71903;46456;4115;41893;51214;48737;25370;88324;5709;maximized silver Afg;2022-05-16T23:09:34;auxiliary;2022-05-16T15:41:06
9;Belarus;Salad partnerships monitor;2022-05-16;p;F;in;withdrawal;card azure;福建省;路 Avon Loan;Investor SMTP;Home;Focused emulation;Berkshire;2022-05-17;2022-05-16;79588;58298;94959;72330;6510;90584;47104;11213;55638;31200;55672;79396;11279;96680;SDD Avon white;2022-05-17T00:56:30;FTP Handcrafted;2022-05-16T13:21:16
10;Pants Concrete;engineer;2022-05-16;I;S;福建;digital synthesize T;Guyana;Borders;Data Soft;Gorgeous COM;Chips Organized;Aruban Ergonomic;Secured Re-contextualized Granite;2022-05-16;2022-05-16;11341;13154;90123;47991;5446;66194;91776;39086;76688;83173;79972;57527;25464;4698;navigating;2022-05-17T07:31:58;Account primary Froz;2022-05-16T23:11:22
