id;line_type;source_id;sender;receiver;message;expect_send_time;real_send_time;status;process_message;create_user;create_time;update_user;update_time
1;initiative;digital Consultant expedite;Shirt Designer;Music;Handcrafted monitor cross-media;2022-03-01T18:45:43;2022-03-01T09:34:07;n;microchip;Frozen deliver;2022-03-02T02:23:41;Cheese 東路;2022-03-02T02:03:21
2;niches;Berkshire;sensor;circuit;revolutionary Licensed Engineer;2022-03-02T03:23:00;2022-03-02T03:25:26;d;西路 Niger Bike;District;2022-03-01T11:14:07;Clothing Group fault;2022-03-01T19:06:02
3;Ergonomic ;enable;Fresh;Garden Intelligent orange;monitor supply-chains 福建省;2022-03-01T05:10:47;2022-03-01T10:26:48;O;Intuitive;Shirt Handmade boliv;2022-03-01T06:59:33;Islands;2022-03-01T17:16:32
4;input Inte;virtual 路 interactive;Industrial;街 customized;vortals Dinar;2022-03-01T15:24:48;2022-03-02T00:39:18;i;neural;killer;2022-03-01T07:34:49;auxiliary Identity;2022-03-02T02:42:13
5;feed Pract;Handcrafted;Cloned 24/7 quantify;deploy 台灣省 teal;Market Future cross-platform;2022-03-01T13:09:42;2022-03-01T23:20:13;O;Home;uniform backing Assi;2022-03-01T05:54:26;台灣省 Identity schemas;2022-03-01T06:17:06
6;Sausages D;withdrawal;Computer;Lead SSL;Tactics generate;2022-03-02T03:31:17;2022-03-02T00:08:19;m;communities Architect 1080p;responsive array pay;2022-03-02T01:36:37;福建省;2022-03-02T00:23:13
7;salmon Bed;Clothing 路 Cameroon;Bike Incredible;Plastic;analyzing 福建省;2022-03-01T23:23:47;2022-03-01T11:50:53;m;Legacy XSS utilize;database;2022-03-01T20:45:15;Rial Ball;2022-03-01T18:33:09
8;invoice;Savings;invoice;Object-based Automotive;up Accountability;2022-03-01T16:13:00;2022-03-01T19:04:34;l;bricks-and-clicks quantify 東路;Functionality;2022-03-01T16:32:04;Rial New white;2022-03-01T08:36:03
9;of invoice;Principal Outdoors Auto;Enhanced payment static;open-source Liaison;redundant Borders context-sensitive;2022-03-02T01:34:34;2022-03-01T21:04:56;R;Distributed;sticky dedicated;2022-03-01T07:46:08;deposit;2022-03-01T13:16:48
10;redundant;Human navigating;deposit;Cordoba Home Marketing;drive overriding compressing;2022-03-01T21:18:04;2022-03-01T04:00:04;g;zero 台灣省 silver;models navigating Au;2022-03-01T17:01:27;USB;2022-03-02T00:07:44
