id;sms_type;source_id;sender;receiver;supplier;message;expect_send_time;real_send_time;status;process_message;create_user;create_time;update_user;update_time
1;withdrawal;Managed Facilitator;multi-byte;Electronics;state navigating;interface Salad;2022-03-01T20:28:42;2022-03-01T07:19:20;i;cyan Generic 南路;Dollar;2022-03-01T16:49:08;Gorgeous Small Soft;2022-03-01T14:56:46
2;web-enable;Bedfordshire Wooden Corporate;Frozen 台灣省 calculate;payment;green;Health primary Mouse;2022-03-01T05:50:36;2022-03-01T11:48:52;T;Integration;Infrastructure trans;2022-03-01T22:03:56;exuding;2022-03-01T17:10:40
3;firewall;AGP Sleek;西路 Fresh;福建省;withdrawal;invoice;2022-03-01T08:15:50;2022-03-01T12:34:12;B;open;Germany Tools;2022-03-01T10:27:06;compressing infrastr;2022-03-01T17:36:20
4;Customer-f;process;incubate;sensor;Soap;online input Haiti;2022-03-01T11:40:04;2022-03-01T17:54:21;南;Dobra Chips;extend Progressive;2022-03-01T15:18:12;台灣省 redundant strate;2022-03-01T15:27:58
5;e-services;Wooden;Kuna Orchestrator artificial;西路 Accountability Handcrafted;Malawi Frozen Fresh;one-to-one;2022-03-01T14:17:11;2022-03-01T12:21:09;m;Outdoors;Auto Incredible;2022-03-01T18:11:53;Rubber;2022-03-01T10:49:07
6;Licensed n;Regional generate invoice;Steel optical;Central Sausages withdrawal;expedite Loan Handcrafted;neural-net IB Towels;2022-03-01T16:26:12;2022-03-01T09:42:12;B;Wooden Concrete;Cotton;2022-03-01T20:05:01;台灣省 Music;2022-03-01T06:56:28
7;Accounts S;parse;台灣省;connect;optimize Response;mindshare 台灣省;2022-03-02T01:56:29;2022-03-01T15:05:37;B;Realigned time-frame Fresh;microchip;2022-03-01T12:34:38;THX hardware;2022-03-01T08:17:58
8;bandwidth;full-range hacking;南路 Paradigm Tanzania;teal;Money SAS;magnetic;2022-03-01T04:01:26;2022-03-01T09:50:42;p;orchestrate Berkshire Account;路 transmit;2022-03-01T17:58:54;panel;2022-03-01T22:36:06
9;program;Small;programming;Loan Optimized Chief;connect wireless;Borders Open-architected;2022-03-01T23:15:10;2022-03-01T09:29:29;R;Cambridgeshire Right-sized emulation;Planner Health proto;2022-03-01T06:17:58;東路 program Clothing;2022-03-02T01:43:48
10;Bedfordshi;Granite navigate 北路;Dirham;productivity India;Assistant 24/7;blockchains;2022-03-01T11:35:49;2022-03-01T23:48:17;c;transmitter Applications;Infrastructure;2022-03-01T12:47:30;benchmark Lead Lead;2022-03-02T03:32:49
