id;unit_id;apply_time;approve_time;status;module_type;business_type;approve_unit;update_user;update_time;create_user;create_time
1;reboot Panama deposi;2022-06-20T18:33:39;2022-06-20T18:45:12;c;qua;next-generation Vers;Dollar withdrawal;Branding;2022-06-20T16:00:03;mission-critical 北路;2022-06-21T07:07:26
2;Administrator Table ;2022-06-20T15:27:38;2022-06-21T06:01:15;d;Sma;Lead;Program;connect Investment;2022-06-20T20:23:59;Shoes payment market;2022-06-21T06:47:54
3;Soap vertical Switze;2022-06-21T02:07:19;2022-06-20T14:29:27;A;Key;Leu;Future 街 Chicken;relationships;2022-06-20T19:03:14;Dollar killer;2022-06-20T21:06:44
4;Customer;2022-06-21T02:38:03;2022-06-20T10:30:43;s;vir;SMTP Intelligent;array 台灣省 Internatio;Clothing motivating;2022-06-20T08:32:03;Synchronised Grocery;2022-06-21T01:31:35
5;Plastic neural;2022-06-21T04:38:49;2022-06-20T08:29:03;T;Alg;Grass-roots Represen;Automotive;Functionality;2022-06-21T02:49:55;Concrete Savings;2022-06-21T07:13:10
6;convergence Darussal;2022-06-21T07:46:12;2022-06-20T20:29:11;J;Uni;Soft 1080p grey;Senior;turn-key;2022-06-20T22:18:37;generating EXE;2022-06-20T17:59:55
7;Diverse;2022-06-20T22:48:36;2022-06-20T17:09:53;S;whi;Bacon;SCSI deposit;Unbranded programmin;2022-06-20T13:05:51;福建省 Handmade;2022-06-20T22:56:01
8;Incredible parse;2022-06-20T13:58:21;2022-06-20T17:19:06;U;sys;Card;transmitting haptic ;Avon Granite Chief;2022-06-20T16:15:20;Cheese channels;2022-06-20T19:42:23
9;Concrete synthesize;2022-06-20T16:31:06;2022-06-21T01:09:46;i;Sup;東路 user-centric;Planner;Gloves;2022-06-20T22:24:38;database Rubber Berk;2022-06-21T02:06:06
10;Cambridgeshire 北路;2022-06-20T14:35:12;2022-06-21T08:22:07;A;ite;Jamaica Small;福建省;redefine;2022-06-21T01:26:27;Home;2022-06-21T04:19:46
