id;wkut;prjno;dis_no;amnta;amntb;amnt;create_date;create_user;update_date;update_user;dsts;conf_out;u_ip
<<<<<<< HEAD
1;Cedi Agent Tasty;Grass-roots;Rial;28066;90313;80383;2022-06-22T05:35:57;Investment copy;2022-06-22T07:50:56;Shoes;d;68866;generating XML
2;target;Shirt;global transmitting;41887;9788;76501;2022-06-22T11:32:38;Representative Bacon;2022-06-22T10:56:17;Intranet Pizza;K;12380;FTP Islands Creative
3;demand-driven turquoi;福建省 Future Rubber;whiteboard;98071;69385;78511;2022-06-21T12:22:13;alarm alarm 西路;2022-06-21T19:51:28;azure Senior;C;62397;Future-proofed
4;red 街;Account;overriding Investmen;41594;65798;10044;2022-06-21T14:44:42;Dollar;2022-06-21T14:47:08;Guilder Dynamic tran;a;7758;福建省 Somali
5;Jewelery 福建省;Persistent;AI fuchsia Cambridge;55200;19791;55727;2022-06-22T11:14:53;Refined;2022-06-22T06:49:41;Enhanced;B;17355;deploy
6;Interactions;Agent;optimize payment fee;43468;81839;89766;2022-06-21T19:45:43;Cheese Dynamic;2022-06-21T16:50:37;Soft Berkshire index;s;65933;RAM
7;connect;strategy;Plastic PCI;70627;59606;91856;2022-06-21T15:52:17;up;2022-06-21T16:51:24;up;g;76295;Loan cross-platform virtual
8;台灣省;Malaysia Brand Architect;Fresh;27669;53534;31341;2022-06-21T17:23:40;Cambridgeshire;2022-06-21T14:37:45;Car El;G;53746;content architectures Horizontal
9;Handmade Leone;e-enable Avon interface;white;25810;63714;20332;2022-06-21T12:39:17;wireless Account;2022-06-22T05:20:38;Web Wooden Movies;m;63006;Credit Soft Synchronised
10;Towels;Manager asymmetric Chief;hybrid indigo robust;22743;33246;42625;2022-06-21T23:42:11;Computers visionary;2022-06-22T09:20:58;generate feed GB;t;69706;Dinar Rustic mission-critical
=======
1;Cedi Agent Tasty;Grass-roots;Rial;28066;90313;80383;2022-07-05T22:07:53;Investment copy;2022-07-06T00:22:52;Shoes;d;68866;generating XML
2;target;Shirt;global transmitting;41887;9788;76501;2022-07-06T04:04:34;Representative Bacon;2022-07-06T03:28:13;Intranet Pizza;K;12380;FTP Islands Creative
3;demand-driven turquoi;福建省 Future Rubber;whiteboard;98071;69385;78511;2022-07-05T04:54:09;alarm alarm 西路;2022-07-05T12:23:24;azure Senior;C;62397;Future-proofed
4;red 街;Account;overriding Investmen;41594;65798;10044;2022-07-05T07:16:38;Dollar;2022-07-05T07:19:04;Guilder Dynamic tran;a;7758;福建省 Somali
5;Jewelery 福建省;Persistent;AI fuchsia Cambridge;55200;19791;55727;2022-07-06T03:46:49;Refined;2022-07-05T23:21:37;Enhanced;B;17355;deploy
6;Interactions;Agent;optimize payment fee;43468;81839;89766;2022-07-05T12:17:39;Cheese Dynamic;2022-07-05T09:22:33;Soft Berkshire index;s;65933;RAM
7;connect;strategy;Plastic PCI;70627;59606;91856;2022-07-05T08:24:13;up;2022-07-05T09:23:20;up;g;76295;Loan cross-platform virtual
8;台灣省;Malaysia Brand Architect;Fresh;27669;53534;31341;2022-07-05T09:55:36;Cambridgeshire;2022-07-05T07:09:41;Car El;G;53746;content architectures Horizontal
9;Handmade Leone;e-enable Avon interface;white;25810;63714;20332;2022-07-05T05:11:13;wireless Account;2022-07-05T21:52:34;Web Wooden Movies;m;63006;Credit Soft Synchronised
10;Towels;Manager asymmetric Chief;hybrid indigo robust;22743;33246;42625;2022-07-05T16:14:07;Computers visionary;2022-07-06T01:52:54;generate feed GB;t;69706;Dinar Rustic mission-critical
>>>>>>> function/bid-aab-009
