id;wkut;prjno;check_date;adm_file_id;ynd_a_01;reson_a_01;date_a_01;ynd_a_02;reson_a_02;date_a_02;ynd_a_03;reson_a_03;date_a_03;ynd_a_04;reson_a_04;date_a_04;ynd_a_05;reson_a_05;date_a_05;ynd_a_06;reson_a_06;date_a_06;ynd_a_07;reson_a_07;date_a_07;ynd_a_08;reson_a_08;date_a_08;ynd_a_09;reson_a_09;date_a_09;ynd_a_10;reson_a_10;date_a_10;ynd_a_11;reson_a_11;date_a_11;ynd_a_12;reson_a_12;date_a_12;ynd_a_13;reson_a_13;date_a_13;ynd_a_14;reson_a_14;date_a_14;ynd_a_15;reson_a_15;date_a_15;create_date;create_user;update_date;update_user;dsts;ynd_a_16;reson_a_16;date_a_16;ynd_b_01;reson_b_01;date_b_01;ynd_b_02;reson_b_02;date_b_02;ynd_b_03;reson_b_03;date_b_03;ynd_b_04;reson_b_04;date_b_04;ynd_b_05;reson_b_05;date_b_05;ynd_b_06;reson_b_06;date_b_06;ynd_b_07;reson_b_07;date_b_07
1;framework Handcrafted;Agent Kids sensor;2022-07-11;58977;Investm;Response Down-sized;2022-07-11;Brand C;JBOD neural;2022-07-11;台灣省;Paraguay;2022-07-11;Fantast;violet Mouse Upgradable;2022-07-11;Intrane;generate;2022-07-11;indexin;synthesizing Intelligent withdrawal;2022-07-12;up 台灣省;user-centric neural;2022-07-12;Corpora;Bike invoice Avon;2022-07-11;open SD;路;2022-07-11;Shirt V;Cambridgeshire green;2022-07-11;panel A;東路 Dynamic Tuna;2022-07-11;index;deposit Berkshire Steel;2022-07-12;Forward;Account Unbranded;2022-07-11;user-ce;Robust;2022-07-11;Berkshi;initiative niches Generic;2022-07-11;2022-07-11T21:38:36;parallelism National;2022-07-11T14:35:20;deposit;R;Versati;Frozen green Generic;2022-07-11;compres;payment revolutionary Grocery;2022-07-11;client-;indexing Central Computers;2022-07-11;Loan pa;Loan;2022-07-11;Kenyan;incremental asynchronous adapter;2022-07-11;Practic;Handmade;2022-07-12;台灣省;Universal;2022-07-12;transmi;Bedfordshire Borders Republic;2022-07-11
2;Home Lithuania GB;Jewelery Tasty International;2022-07-12;29527;Gorgeou;disintermediate;2022-07-12;台灣省 Lux;Granite Lao;2022-07-12;integra;福建省 SDD;2022-07-11;payment;Chicken Steel clear-thinking;2022-07-11;Divisio;invoice;2022-07-12;Grass-r;東路 withdrawal Bacon;2022-07-11;expedit;Tactics overriding incentivize;2022-07-11;南路 Clot;Cotton;2022-07-12;Money S;Division;2022-07-12;engage ;mobile;2022-07-12;Account;uniform;2022-07-12;compres;Human 北路 Solutions;2022-07-11;Cotton ;Incredible;2022-07-12;quantif;Concrete;2022-07-11;Avon cr;街 Loan;2022-07-12;2022-07-12T08:06:07;Uganda Keyboard fore;2022-07-11T16:08:28;national 路 Facilitat;P;東路 街;payment;2022-07-11;archite;Division Account;2022-07-11;array W;Outdoors index content;2022-07-12;Electro;Home;2022-07-11;hack ex;IB 台灣省;2022-07-11;Optimiz;real-time (Bouvetoya);2022-07-12;service;blue Wooden 台灣省;2022-07-12;Interna;Functionality Berkshire Metal;2022-07-12
3;Data Future Regional;Avon;2022-07-11;58616;payment;International 街;2022-07-12;台灣省;payment;2022-07-12;Human;bluetooth 街 福建省;2022-07-12;client-;Berkshire Identity Cotton;2022-07-11;hardwar;Games;2022-07-12;enginee;Bedfordshire Tonga Lead;2022-07-12;Unbrand;online Markets;2022-07-11;virtual;deposit;2022-07-12;Produce;user withdrawal cutting-edge;2022-07-12;Archite;whiteboard Frozen;2022-07-11;access ;repurpose;2022-07-11;Credit ;JSON Progressive;2022-07-11;Facilit;composite;2022-07-11;Beauty ;Branding;2022-07-11;HTTP Av;Fresh withdrawal;2022-07-11;2022-07-12T07:26:04;mobile Factors;2022-07-11T22:12:18;Proactive;e;methodo;Loan Accounts HTTP;2022-07-11;Dinar;reboot payment;2022-07-12;input;e-business;2022-07-11;online ;matrix Pizza reciprocal;2022-07-11;incubat;bus;2022-07-11;Cote;Metal;2022-07-12;Realign;programming invoice;2022-07-12;Designe;Plastic 台灣省;2022-07-12
4;deposit;withdrawal;2022-07-11;64117;Auto Co;system primary;2022-07-11;Metal;e-commerce;2022-07-11;南路 Toys;feed 路 indexing;2022-07-11;e-taile;Borders 福建省;2022-07-11;applica;Tuna;2022-07-12;1080p;plum strategize 福建省;2022-07-11;Card SM;Direct redundant;2022-07-11;Peso ne;Handcrafted Investment pixel;2022-07-12;Bedford;synergize;2022-07-12;sticky;Rustic function Awesome;2022-07-12;project;Handcrafted;2022-07-11;orchest;台灣省 back-end;2022-07-11;Soft Be;Chicken;2022-07-12;Account;embrace;2022-07-12;Baht Ad;Bacon Research Account;2022-07-11;2022-07-11T21:20:06;mint Manager;2022-07-12T01:38:27;mission-critical;A;北路;Concrete;2022-07-11;Games;Account Anguilla deposit;2022-07-12;cross-p;Practical Music Concrete;2022-07-12;eco-cen;unleash Account Dynamic;2022-07-12;SMTP ho;Berkshire Account;2022-07-11;vertica;Metrics Dong encoding;2022-07-12;Tuna;e-services Shoes;2022-07-11;orchid ;Account white;2022-07-12
5;system-worthy Towels ;vortals FTP loyalty;2022-07-11;46896;paralle;distributed Customer Human;2022-07-12;Handmad;Ball;2022-07-11;Polaris;target Account;2022-07-12;payment;西路 plum Operative;2022-07-11;overrid;ROI;2022-07-11;CFP;Customer Horizontal;2022-07-12;digital;Generic Granite;2022-07-11;bi-dire;Outdoors;2022-07-11;Somoni;communities;2022-07-12;white;台灣省 invoice;2022-07-11;lime qu;Investment optical;2022-07-11;Bucking;indexing withdrawal;2022-07-11;Mayotte;Analyst;2022-07-11;white;white RSS Towels;2022-07-12;project;payment Toys 24/365;2022-07-11;2022-07-12T03:17:48;initiatives Bacon;2022-07-12T03:04:30;Division Engineer Di;I;Ball;invoice payment Account;2022-07-12;Legacy ;cohesive override Officer;2022-07-11;withdra;Dollar;2022-07-11;orchest;Loan solid;2022-07-12;Soft Ru;Monitored overriding Licensed;2022-07-11;Usabili;yellow;2022-07-12;intrane;interface generating gold;2022-07-12;Berkshi;Borders content matrices;2022-07-12
6;Buckinghamshire;Wooden systems;2022-07-11;74313;payment;Synchronised;2022-07-11;JSON 台灣;Operations;2022-07-11;Forward;Berkshire Brand;2022-07-12;firewal;Sports;2022-07-11;bus;calculating;2022-07-11;primary;human-resource;2022-07-11;synergi;models program payment;2022-07-11;Rustic ;Buckinghamshire Refined Loan;2022-07-11;SQL;People's e-business;2022-07-12;東路;copy aggregate;2022-07-12;Consult;Small redundant EXE;2022-07-11;Electro;recontextualize Generic;2022-07-11;南路;西路 grow;2022-07-11;tertiar;Branding Infrastructure;2022-07-12;Integra;Brand contingency;2022-07-11;2022-07-11T22:26:06;Gloves teal;2022-07-11T08:54:58;best-of-breed schema;b;Account;tan;2022-07-12;policy ;Borders 福建省 web-enabled;2022-07-11;driver ;Home Borders;2022-07-11;AI web-;Chicken feed;2022-07-12;Usabili;bypass Andorra;2022-07-11;red Loa;Towels fuchsia;2022-07-11;Nationa;COM visionary Fish;2022-07-11;Mouse;Bedfordshire JBOD Arabia;2022-07-11
7;Computers Mouse Tasty;Central;2022-07-11;76760;cross-p;Electronics Incredible;2022-07-11;路;withdrawal blue;2022-07-11;optical;Administrator Central;2022-07-11;plum Ch;Buckinghamshire Upgradable digital;2022-07-11;wireles;payment Nepal Account;2022-07-12;Polaris;Unbranded logistical;2022-07-11;Data Av;payment;2022-07-11;Group C;Niue Computers;2022-07-11;invoice;Visionary card;2022-07-12;福建省;transmit Generic Electronics;2022-07-11;program;Avon Vatu;2022-07-12;enterpr;Afghanistan web-enabled;2022-07-11;Unbrand;路 Metal Market;2022-07-12;Sum 福建省;Tasty Producer;2022-07-11;bypass;台灣省;2022-07-11;2022-07-11T09:41:50;e-tailers;2022-07-11T12:31:56;Cambridgeshire Senio;d;Borders;Handmade;2022-07-11;pixel;Account;2022-07-11;didacti;Tasty 路 override;2022-07-12;transmi;back-end;2022-07-11;eyeball;Rustic;2022-07-11;SCSI SC;withdrawal indexing;2022-07-11;envisio;Cuba 路;2022-07-11;ADP Opt;transmitting Pizza Pataca;2022-07-11
8;Ireland 街 innovate;Rustic;2022-07-12;73196;Tasty W;Rubber parsing Rubber;2022-07-11;Loti;Infrastructure Loan primary;2022-07-12;Borders;街;2022-07-11;navigat;Versatile;2022-07-11;Soap Ca;intangible Loan ability;2022-07-11;data-wa;e-markets 南路;2022-07-11;Won bac;Account;2022-07-12;hack;Rubber Money SDD;2022-07-11;magenta;Clothing Dollar relationships;2022-07-12;silver ;B2C policy;2022-07-11;Bacon;azure Optimization;2022-07-11;product;Frozen invoice Sleek;2022-07-11;payment;Computers;2022-07-12;ADP sta;Steel;2022-07-11;24/365 ;integrate;2022-07-12;2022-07-11T23:47:11;Frozen red;2022-07-12T00:57:36;User-centric;西;redunda;matrix;2022-07-11;applica;Coordinator sensor;2022-07-11;西路;Saint 街 Plastic;2022-07-11;Beauty ;haptic 路 Assurance;2022-07-11;driver ;Bedfordshire;2022-07-11;withdra;Games 路;2022-07-11;Credit ;orchid;2022-07-12;Special;Bedfordshire;2022-07-12
9;user-facing 1080p dep;Granite;2022-07-12;36873;Handmad;index Compatible driver;2022-07-11;overrid;back-end capacity Rubber;2022-07-12;Wooden ;Keyboard input Refined;2022-07-12;Upgrada;Designer 福建省 local;2022-07-11;Shoes N;Planner revolutionize connecting;2022-07-12;product;Orchestrator base;2022-07-12;Car Avo;JSON 街 monetize;2022-07-12;Garden ;Mozambique;2022-07-12;white L;JBOD Accounts Awesome;2022-07-12;南路 福建省 ;Specialist;2022-07-11;Re-cont;Avon;2022-07-11;archive;Movies payment;2022-07-12;Awesome;Loan quantify;2022-07-12;Rica;red;2022-07-11;Garden ;街;2022-07-12;2022-07-12T07:41:20;redefine;2022-07-11T17:42:35;open Tala Music;m;Cambrid;website;2022-07-12;Persona;Personal XML XML;2022-07-12;街 Steel;Shoes;2022-07-12;panel;Accountability Hat Fantastic;2022-07-11;Global ;福建省;2022-07-11;Marketi;Networked Awesome;2022-07-11;福建省;Account brand e-business;2022-07-11;Metal D;clear-thinking;2022-07-11
10;green New calculating;virtual;2022-07-12;58348;pixel;Awesome grow morph;2022-07-11;福建省;Associate;2022-07-11;program;auxiliary grid-enabled;2022-07-12;Bucking;embrace Fantastic;2022-07-11;groupwa;Chair;2022-07-12;Dynamic;Analyst;2022-07-11;iterate;福建省 Agent;2022-07-12;holisti;Shoes platforms Investment;2022-07-11;Mouse G;Borders Monitored;2022-07-11;Avon qu;Rubber calculating utilize;2022-07-11;Botswan;encompassing wireless;2022-07-12;Rustic ;Unbranded auxiliary;2022-07-12;online;ADP Coordinator strategic;2022-07-11;Enginee;mint Forward;2022-07-11;uniform;embrace;2022-07-12;2022-07-12T01:49:22;compressing Berkshir;2022-07-12T05:52:31;Buckinghamshire 台灣省 ;F;discret;Caledonia web;2022-07-11;Dynamic;SMTP;2022-07-12;Identit;Avon 北路;2022-07-11;街;copy 東路;2022-07-11;Chair d;Bacon sexy Loan;2022-07-11;Bedford;transform compressing;2022-07-11;withdra;Infrastructure 福建省;2022-07-11;Guinea ;Soft Small portals;2022-07-12
