id;wkut;prjno;dsp_no;dsp_sdat;ccut_1_tel;ccut_1_fax;ccut_1_er;ccut_1_er_tel;scut_tel;scut_fax;scuter;scuter_tel;dsp_speed;dsp_item;dsp_pmon;dsp_pedat;dsp_aedat;dsp_f_1_dat;dsp_amon;dsp_f_2_dat;sender;sendtel;sendfax;create_date;create_user;update_date;update_user;dsp_rmk;dsts;u_ip;dsp_temp
1;Omani;台灣省;Sausages Afghani;2022-07-21;福建省;Germany;set;feed repurpose;街 Berkshire Dinar;fuchsia;1080p;Account Danish;De;Integrated;99557;2022-07-21;2022-07-22;2022-07-21;86118;2022-07-21;payment Wooden;interactive;Lesotho payment;2022-07-21T11:37:23;parsing 福建省;2022-07-21T19:25:06;Cotton scalable arch;intuitive program 福建省;C;Rustic Computers SAS;Avon 東路
2;ivory infrastructure;Industrial facilitate Wooden;台灣省 synergize Account;2022-07-22;salmon Concrete;Metal;primary;IB;Specialist Response strategize;PNG;concept 南路;connecting;In;Colombian;36495;2022-07-21;2022-07-21;2022-07-21;19907;2022-07-22;Ghana Robust 福建省;programming Customer;Investor 福建省;2022-07-21T15:54:24;withdrawal;2022-07-21T14:00:22;Internal;payment;w;customer Bolivia Account;Concrete Paraguay
3;Re-contextualized Acc;connect;analyzing stable calculating;2022-07-21;Metal Internal;Account Mexico Berkshire;Borders India 西路;Persevering Producer;red;reboot azure;台灣省 Metrics Investme;software;北路;Optional Tuna;57548;2022-07-21;2022-07-21;2022-07-21;94218;2022-07-22;yellow;Licensed Stand-alone up;definition;2022-07-22T01:19:17;Specialist Awesome;2022-07-22T01:03:29;Beauty Krone;Account;S;Decentralized Macedonia invoice;withdrawal e-enable
4;Wooden Bhutanese 台灣省;Cambridgeshire 南路 indexing;Avon;2022-07-22;Loan;revolutionize;JBOD;Cambridgeshire;西路 matrices;Administrator;capability;Health;In;Industrial Senior Account;5357;2022-07-22;2022-07-22;2022-07-21;35660;2022-07-21;focus;Beauty;Fish;2022-07-21T21:00:52;firewall Chicken Man;2022-07-21T14:42:33;Coordinator reboot;revolutionary;E;grey Franc;Fish Berkshire Futur
5;福建省 Brunei;indexing Practical Shirt;Focused Markets invoice;2022-07-21;Rupee Frozen;payment;withdrawal Borders;Avon Chief;Accountability Cheese;Dobra SDD;evolve program;北路;sy;SCSI whiteboard;61471;2022-07-21;2022-07-21;2022-07-21;65865;2022-07-21;tan;human-resource Jordan infrastr;user-facing index;2022-07-21T20:03:00;Pants;2022-07-21T12:46:51;deposit Saint;Assistant Intelligent Ball;s;silver Games invoice;Dynamic
6;Peso;Ngultrum redundant 24/7;Persistent e-services;2022-07-21;Frozen Exclusive deposit;Cambridgeshire JSON mesh;Bedfordshire;Cambridgeshire Card;Bahamas Generic Wooden;Coordinator;Optimization;Granite alarm Berksh;di;Refined;9423;2022-07-22;2022-07-21;2022-07-21;23724;2022-07-21;interface Bedfordshi;街;Pants Advanced;2022-07-22T05:15:47;XSS;2022-07-21T16:17:07;payment;capability Soft;m;projection Loan mint;input
7;Mali calculate;FTP;red salmon;2022-07-21;Engineer transmit Money;driver;Soft Silver;extend Berkshire;Marketing networks backing;optical Towels Naira;Canada;supply-chains;Be;online blue deposit;47695;2022-07-21;2022-07-21;2022-07-22;69772;2022-07-21;Communications Bucki;system Fish;Steel Designer;2022-07-22T05:08:42;PCI invoice;2022-07-21T07:30:17;Creative quantifying;Cambodia Health iterate;S;Pizza;withdrawal
8;killer;Industrial Money Gloves;BEAC Producer;2022-07-21;Berkshire;reboot;interactive;街 Loan Account;payment 南路;invoice;hack Account Nepales;Outdoors;dr;東路 haptic;91936;2022-07-22;2022-07-22;2022-07-21;39210;2022-07-21;override;Lead;AI;2022-07-21T14:15:29;drive 福建省;2022-07-21T07:51:04;generate Games;deposit;S;navigating Avon;Reverse-engineered w
9;dynamic platforms 福建省;reintermediate;Bedfordshire Sleek Gabon;2022-07-21;Assistant pink;東路;Group;hacking multi-state ;distributed De-engineered cros;Balanced Granite;Bedfordshire 台灣省 街;Ergonomic modular;台灣;Frozen Fantastic;15729;2022-07-22;2022-07-21;2022-07-21;2799;2022-07-22;logistical Chair;Convertible;Towels scalable;2022-07-21T15:35:26;hybrid 街 parse;2022-07-21T11:20:19;Executive;Movies;t;Group;capacitor bypassing
10;orange;Refined Metal XSS;CSS Bedfordshire 台灣省;2022-07-21;Mauritania;XML IB;object-oriented Cust;real-time tertiary A;Hat;system SAS;Berkshire program;Specialist withdrawa;Sh;Garden;14890;2022-07-21;2022-07-21;2022-07-21;31210;2022-07-21;District;pixel Paradigm withdrawal;COM Awesome;2022-07-22T01:05:53;Account;2022-07-21T19:16:52;Cotton ROI;東路 Home Card;p;Islands navigate Pizza;Frozen Accounts
