id;user_id;function_id;create_user;create_time
1;matrix AI;synthesize Loan;Future Branding Offi;2022-07-10T04:52:26
2;indigo;Intranet primary cal;AGP protocol Monetar;2022-07-10T13:10:48
3;Towels Berkshire;sensor;instruction Producer;2022-07-11T03:20:48
4;Incredible;contingency withdraw;parallelism;2022-07-10T04:10:15
5;Cotton;Sleek;北路;2022-07-10T11:47:42
6;deposit auxiliary Ta;Engineer Practical;Soft Avon;2022-07-10T04:16:21
7;e-tailers Electronic;Awesome;blue Soft;2022-07-11T00:19:21
8;bus channels Lead;RAM;Vietnam Greece Shirt;2022-07-10T05:33:13
9;Concrete;Switzerland 台灣省 tool;Research;2022-07-10T21:21:23
10;Applications gold 台灣;Bacon Avon Beauty;service-desk Direct ;2022-07-10T08:22:53
