id;unit_id;role_id;update_user;update_time;create_user;create_time
1;Automotive Represent;withdrawal;calculate;2022-06-21T04:32:05;Computers Interactio;2022-06-20T23:49:54
2;5th Fresh;Group Paradigm Sport;Consultant;2022-06-20T14:03:33;Ergonomic Optimizati;2022-06-21T05:05:11
3;networks Persevering;deposit Rubber Solut;Steel;2022-06-20T20:53:20;Qatar;2022-06-20T15:46:13
4;Accounts;Human 東路;Estonia deposit Conc;2022-06-20T15:25:51;Intelligent 台灣省;2022-06-20T22:42:13
5;Clothing;open-source;Avon Metrics;2022-06-20T16:56:25;task-force Ball heur;2022-06-21T05:45:48
6;Bedfordshire;multi-byte 台灣省 Dynam;Garden Designer;2022-06-20T23:25:54;Books synthesizing D;2022-06-20T11:44:59
7;calculating;Salad Fiji;Dram world-class;2022-06-20T18:15:50;Nicaragua ROI azure;2022-06-20T15:32:11
8;Multi-layered naviga;withdrawal fuchsia a;Bedfordshire transmi;2022-06-21T05:03:49;AI 北路;2022-06-20T09:06:58
9;bandwidth invoice vi;Keyboard payment Bra;Gloves Assistant 西路;2022-06-20T11:44:38;Chips Avon;2022-06-20T21:24:09
10;Avon transmitter;service-desk system ;台灣省 Borders object-o;2022-06-21T05:58:37;Guernsey;2022-06-20T22:15:51
