id;code_type;code_year;code_month;code_date;number;create_user;create_time;update_user;update_time
1;Italy hard;Sau;As;Be;Wooden e;Soft adapter virtual;2022-03-01T06:29:34;Director;2022-03-01T21:59:56
2;Research array;cal;Kw;dr;Architec;systems homogeneous ;2022-03-02T01:00:29;北路;2022-03-01T17:16:24
3;foreground;JBO;bl;in;parse Ac;maximize Steel Accou;2022-03-02T03:30:42;scale yellow Dynamic;2022-03-01T11:25:25
4;Fresh Avon feed;南路 ;As;Di;front-en;silver Investment Ga;2022-03-01T14:18:13;Strategist 福建省;2022-03-02T03:20:10
5;District Cross-group;mon;Bu;vi;Executiv;Small Account TCP;2022-03-01T23:43:10;ivory;2022-03-01T20:45:17
6;Consultant;Pri;br;南路;Berkshir;back-end empowering;2022-03-01T11:53:42;District deposit;2022-03-01T12:52:18
7;Personal;Div;As;in;Cheese;台灣省 software;2022-03-01T12:57:51;monitor array compre;2022-03-01T04:23:02
8;multi-byte 台灣省;Han;台灣;Ic;Avon Gar;福建省 proactive;2022-03-01T15:12:06;Fresh;2022-03-01T22:13:08
9;Soft streamline;Woo;pl;路;Implemen;Personal Avon;2022-03-01T18:31:21;transmit 福建省 Bacon;2022-03-02T03:34:52
10;optical Rubber;app;Dy;pa;aggregat;Interactions Ergonom;2022-03-01T16:38:38;Unbranded;2022-03-01T09:39:23
