id;mail_type;source_id;sender;receiver;subject;content;expect_send_time;real_send_time;status;process_message;create_user;create_time;update_user;update_time
1;copying de;Administrator fuchsia payment;Intelligent 南路;Toys;Handmade Intelligent Tasty;Borders Rupee;2022-03-01T14:25:01;2022-03-02T01:02:14;U;Account Bike;input;2022-03-01T17:32:14;福建省;2022-03-01T23:36:46
2;Shoes rebo;navigating optical;morph ubiquitous transmitting;Automotive Direct 福建省;Fresh backing 台灣省;Gorgeous JBOD;2022-03-01T10:28:03;2022-03-01T04:40:39;C;Loan turquoise microchip;Tuna bus;2022-03-01T23:39:43;FTP;2022-03-01T19:35:17
3;台灣省;compressing networks 南路;Re-contextualized;invoice;Auto;Savings Renminbi Steel;2022-03-01T05:41:26;2022-03-01T17:43:04;C;Tools Savings;Borders deposit;2022-03-01T14:49:53;Small Health;2022-03-01T20:08:06
4;deposit Ru;platforms world-class global;microchip Rubber;Planner parse primary;Intelligent index;virtual Table Research;2022-03-01T11:39:40;2022-03-01T12:43:44;D;payment e-business;福建省 Concrete Rustic;2022-03-01T21:40:36;calculating online;2022-03-01T08:00:05
5;wireless L;copying;Market Sports;Tasty transmit;leverage Tools deposit;International;2022-03-01T21:12:31;2022-03-01T18:09:55;e;Avon Account;Rustic human-resourc;2022-03-01T04:02:21;福建省;2022-03-01T22:22:40
6;Cotton;Incredible SCSI;Plastic e-markets;District solution;deposit Shoes;auxiliary;2022-03-01T20:48:41;2022-03-01T22:49:40;D;Checking Unbranded Soap;indexing 街;2022-03-01T08:30:02;Table;2022-03-01T13:24:58
7;enterprise;panel Steel;matrix;Account payment invoice;support 路;Technician Small;2022-03-01T23:38:27;2022-03-01T16:07:44;S;北路 multi-byte;Tools Configurable;2022-03-01T09:37:21;PNG;2022-03-01T06:09:57
8;User-frien;index invoice;Bike Steel Nakfa;Grocery Tactics;copying;system hack;2022-03-01T18:21:08;2022-03-01T09:29:34;N;西路 protocol interactive;街 strategize incubat;2022-03-01T07:42:35;路 Checking;2022-03-01T05:49:59
9;interface ;Steel;Loan;pixel bypassing;台灣省 USB hacking;Investment;2022-03-01T17:57:02;2022-03-01T17:11:29;P;Buckinghamshire Zambia;Chief Compatible;2022-03-01T06:45:27;Chief Mozambique;2022-03-01T09:32:12
10;strategic ;ivory;RAM Pants Dynamic;superstructure;Bulgarian Concrete target;Cambridgeshire Cambridgeshire Optimization;2022-03-01T19:45:34;2022-03-01T17:37:50;e;synergies application Paradigm;USB;2022-03-01T05:38:04;Computer Manager;2022-03-01T11:49:41
