pro_engin_list_id;pro_innovative_product_id;engin_type;update_user;update_time;create_user;create_time
1;Sharable;Be;Gorgeous Rustic;2022-04-18T12:01:40;Fantastic enterprise;2022-04-18T05:44:18
2;Rubber bac;ov;transmitting transfo;2022-04-18T09:14:59;input Granite optimi;2022-04-18T15:29:14
3;lavender T;Ar;Auto Investor;2022-04-18T12:02:04;reboot;2022-04-18T13:37:59
4;CSS archit;路 ;pink plum;2022-04-18T13:00:28;indexing;2022-04-19T02:14:37
5;override;e-;bypassing;2022-04-18T06:24:16;viral Chief 福建省;2022-04-18T12:00:26
6;Chips;Ke;Tuna SAS indigo;2022-04-18T04:41:19;Clothing Berkshire M;2022-04-18T11:18:05
7;Principal;ac;Chief;2022-04-18T04:35:33;Facilitator;2022-04-19T00:24:33
8;sky Berksh;sy;Fish transmitter Bor;2022-04-19T01:17:53;Chief;2022-04-19T01:22:31
9;forecast 台;東路;value-added drive;2022-04-18T16:15:11;4th;2022-04-18T22:36:53
10;Savings;by;transparent;2022-04-18T21:54:53;Cambridgeshire RSS;2022-04-18T08:59:05
