id;wkut;prjno;agree_date;agree_num;agree_reson;agree_value;tear_down_date;total_value;value_remark;create_date;create_user;update_date;update_user;u_ip
1;synthesizing enable;withdrawal optical directional;2022-07-12;copying Central;n;70407;2022-07-12;40792;福建省;2022-07-13T04:14:16;plug-and-play;2022-07-12T11:42:52;Loan Buckinghamshire;convergence
2;Czech methodology;Practical Marketing;2022-07-12;Movies alarm Security;B;88621;2022-07-12;25413;Functionality;2022-07-12T14:25:28;web-readiness Kazakh;2022-07-12T08:36:39;Granite Cedi violet;throughput client-driven
3;路 back-end;ADP deposit;2022-07-13;state;c;62419;2022-07-12;37281;reinvent Marketing;2022-07-13T00:38:50;portals;2022-07-12T11:14:47;portal Loan;Reverse-engineered unleash RAM
4;open-source;Sausages;2022-07-12;Table;A;23139;2022-07-13;50195;COM card;2022-07-12T23:50:37;Product Realigned;2022-07-12T23:08:49;Shirt;福建省 Virtual Salad
5;Checking;台灣省 Buckinghamshire 24/365;2022-07-13;Wooden target Account;d;56580;2022-07-12;28996;bluetooth;2022-07-12T08:44:32;Avon;2022-07-12T11:33:00;District B2C;synergy digital Granite
6;calculating action-it;reintermediate Configurable;2022-07-13;extend;福;88781;2022-07-12;63812;sensor open-source generation;2022-07-13T02:02:39;Toys Rustic visionar;2022-07-12T13:52:37;back-end;Tools
7;福建省 hacking engage;Handcrafted;2022-07-13;Afghanistan Sleek black;B;39714;2022-07-12;93412;Re-engineered Tactics Practical;2022-07-12T14:53:14;Account;2022-07-12T23:08:44;Global;Cambridgeshire up compressing
8;application e-commerc;Metal Applications withdrawal;2022-07-12;matrix;B;90109;2022-07-12;4538;Franc Soft optimal;2022-07-12T22:58:31;東路 Persistent state;2022-07-12T15:41:35;override Designer CS;Hat interface 路
9;index;optical connect;2022-07-13;synthesize;m;65120;2022-07-12;45938;Gloves Cambridgeshire Investor;2022-07-12T11:02:51;moratorium Market ov;2022-07-13T04:11:53;hybrid productize Bu;magenta
10;grow Convertible out-;holistic reciprocal Program;2022-07-12;Granite;p;84580;2022-07-13;28896;EXE Operations;2022-07-12T16:58:34;街 eco-centric;2022-07-12T14:09:25;Hat Garden bypassing;synthesizing Euro
