id;wkut;prjno;idate;seq;flag;conf_date;conf_number;ka_02;kb_01;kb_02;kc_01;kc_02;kd_01;kd_02;kd_03;kd_04;kd_05;kd_06;kd_07;kd_08;kd_09;ke_01;ke_02;ke_03;ke_04;kf_01;kf_02;kscore;qa_02;qc_01;qc_03;qd_03_a;qd_03_b;qd_03_c;qd_03_d;qd_06;qd_07;qd_08;qd_09;qe_01_a;qe_01_b;qe_021_s;qe_021_e;qe_021_y;qe_022_s;qe_022_e;qe_022_y;qe_023_s;qe_023_e;qe_023_y;qe_03_a;qe_03_b;qe_04;qe_041_s;qe_041_e;qe_041_y;qe_042_s;qe_042_e;qe_042_y;qe_043_s;qe_043_e;qe_043_y;qf_01;qf_011_s;qf_011_e;qf_011_y;qf_012_s;qf_012_e;qf_012_y;qf_013_s;qf_013_e;qf_013_y;qf_02;qf_02_a;qf_02_b;qf_02_c;qf_02_d;item;senter;sentel;admser;dsts;recnt;rermk;qd_03_at;publ;create_date;create_user;update_date;update_user;column_1
1;Soft Pizza;knowledge e-enable;2022-07-10;25995;S;2022-07-11;Cotton ivory invoice;74567;80326;42641;97034;65694;10227;92936;7226;54937;99129;58194;60629;16717;62691;72845;45961;92087;84223;56968;14530;37894;AI;JB;hacking Division Enhanced;福建省;Cambr;Perso;scala;台灣省 R;Secur;Avon ;cultivate Shoes Intelligent;e-business transmit Liberian;Unbranded;magenta;西路 Awes;Rus;Ergonom;Hat Cha;Imp;Senior ;innovat;Kir;Books;Acc;feed 福建省;Enginee;program;vir;Ringgit;Namibia;vir;composi;XML;Han;JBOD Incredible Product;cross-p;harness;oli;Industr;platfor;pan;Grocery;quantif;Soa;wirel;Legac;motiv;Credi;3444;Accounts Associate deposit;interface 街;Investor;Barbados Integration;O;80180;Wooden Corporate;Globa;福;2022-07-10T15:14:42;index Tactics Pizza;2022-07-11T04:50:45;Garden support;Sports Zambia quanti
2;to;Music bypass Product;2022-07-10;72976;S;2022-07-11;Right-sized integrate Frozen;89858;4842;84227;51239;27131;62942;20433;93292;18125;87172;16459;21305;87629;96443;60587;2333;4079;13252;11358;58203;63535;or;Ma;Granite Monaco Fiji;wirel;Accou;optim;Accou;Gener;intra;facil;directional Account Oro;visionary;PNG;aggrega;Integra;pay;withdra;leverag;Ste;overrid;Rubber;cro;Bahra;act;Dollar Principal;input b;orchid ;Out;Program;Bermudi;Mob;南路;EXE;yel;Supervisor Buckinghamshire;virtual;Auto ex;Fun;Legacy ;Executi;Ira;Account;Zimbabw;Cot;real-;Assis;hard;matri;5358;Specialist;台灣省;synthesizing Analyst cross-pla;北路;f;11552;Supervisor;Metal;G;2022-07-10T08:12:56;Associate Uganda;2022-07-10T15:55:22;福建省 auxiliary input;Dinar 西路
3;南路 Borders;Handcrafted customer;2022-07-11;14705;P;2022-07-10;platforms;50932;90549;9125;37389;97026;49866;77647;72468;16582;70073;12397;93543;590;4896;51967;90534;19817;49031;40946;66305;50967;Di;Ca;Practical Steel Graphical;Produ;福建省 b;invoi;invoi;台灣省 E;Forwa;turn-;街;panel Optional;Incredible;haptic ;stable ;Sho;vortals;Interna;Isl;Coordin;Finland;ivo;Fiji ;Div;back-end repurpose clicks-and-mortar;Account;dynamic;Chi;hard;Gibralt;for;engage ;Integra;ind;Health Frozen Handcrafted;街 東路;mobile;Sen;Garden ;Outdoor;Met;port;HTTP Sa;wit;copy;SQL C;Mouse;Pants;61013;街;backing Frozen Organ;holistic Sao;Cotton Jamaica Loan;n;13113;salmon;hack ;c;2022-07-10T22:47:32;台灣省 TCP;2022-07-10T17:55:10;JSON;Analyst clicks-and-m
4;Global navigate;Awesome;2022-07-10;66898;A;2022-07-11;Loan Representative generate;47403;39777;87049;41234;89195;87551;56957;13943;15447;3842;67148;1756;85073;26602;4255;85522;34216;70997;34143;36312;22486;br;Ca;help-desk Account Associate;Compa;Chair;empow;bleed;Dynam;Monte;matri;Account;Market white;wireless C;tan;up lime;cap;drive a;indexin;azu;violet ;Interac;tur;Open-;Isl;program value-added Fresh;magenta;bus arc;ind;RAM syn;Avon pa;4th;markets;Multi-l;pay;withdrawal Pizza cross-platform;Tactics;array;sal;navigat;optical;Kid;Chicken;Designe;Ass;salmo;index;Towel;Cambr;83617;national;utilize structure mu;azure;Dynamic Jordan;p;16258;matrix gold SCSI;Steel;A;2022-07-10T17:42:50;parse;2022-07-10T19:04:45;Brunei 街;Fresh Russian mobile
5;card Concrete;Lead haptic Metrics;2022-07-10;78913;F;2022-07-10;withdrawal;90814;32877;51638;8068;35739;26134;78456;25461;24162;7790;5308;76766;75048;71726;14679;34076;87751;97672;69466;90815;13251;Me;Te;Ringgit;福建省 L;台灣省 g;Gener;Perso;Plann;SAS P;Tools;Bedfordshire;internet 南路 monitoring;repurpose ;北路 Egyp;card Ke;Eng;Configu;cross-m;Awe;quantif;Practic;sec;福建省 A;cop;Loan payment;deposit;Multi-l;Bed;SAS Ver;福建省 Buc;Acc;Agent p;SSL ove;emp;synthesizing;Beauty;time-fr;int;Represe;Princip;Off;台灣省 pay;Senior ;Cam;maxim;teal ;Small;incen;24667;firewall orchestrate Forint;one-to-one;Loan connect partnerships;synthesize Compatibl;v;33586;Strategist haptic;trans;R;2022-07-10T16:38:10;Ergonomic quantifyin;2022-07-10T10:30:41;XML 福建省;invoice transmitter
6;e-business Berkshire ;invoice metrics;2022-07-11;65191;h;2022-07-11;Guinea Wooden;36505;33957;37266;60580;30449;71363;8098;11885;93760;67757;1218;6356;55646;75789;91502;50160;97719;18278;15689;57308;56495;Bu;ho;green Loan cross-platform;Salad;HDD a;depos;auxil;payme;revol;福建省 b;real-time clicks-and-mortar TCP;Market;Steel cont;generat;data-wa;Dol;Synergi;Handmad;sal;福建省 gen;quantif;cap;withd;mob;Health set;orange ;Bedford;Pro;withdra;Kwanza ;Buc;card in;mission;wit;Towels optical;hard Pa;南路;bif;Chips s;Morocca;Sol;deposit;structu;福建省;Autom;vorta;withd;Ameri;34851;Human;connect;Mexico;panel HTTP Bedfordsh;I;28544;monitor bleeding-edge seize;Islan;e;2022-07-11T02:04:10;back-end embrace Res;2022-07-11T02:42:11;circuit Account prim;Switchable
7;Latvia synthesizing;online;2022-07-10;1476;M;2022-07-10;azure District Practical;19640;94164;57563;63221;24165;64261;58417;34549;77518;59776;74329;629;94080;2068;55985;56571;20239;25671;14092;22511;99195;po;su;hard Keyboard Chair;schem;HDD d;Tools;Commu;Dolla;Towel;Rusti;grey capacitor 福建省;methodologies Rubber;Soft prici;grid-en;grow in;台灣省;white l;Diverse;西路 ;Manat;Wooden ;wor;Steel;Fan;Incredible Plastic;Egypt F;reboot;Tun;Multi-t;withdra;台灣省;Island ;mesh bl;tra;南路 Metal;circuit;HDD PCI;Don;primary;南路 cohe;dep;full-ra;non-vol;Acc;Gibra;drive;robus;福建省;72718;Ergonomic;台灣省 Account;National Loan;Card;福;84607;experiences;compr;福;2022-07-11T04:22:29;Planner;2022-07-10T19:45:08;AGP;connecting navigate
8;Bike port;Practical Engineer;2022-07-10;68049;P;2022-07-10;back-end foreground Automotive;87556;2635;44697;57578;35718;79341;86689;32918;68800;84916;52021;84415;636;68692;86603;68835;98885;60970;29717;61365;72473;op;sy;台灣省 Chair;parse;Brand;Intel;Tacti;fresh;台灣省 i;Accou;innovative;COM deposit;back-end g;福建省 Pla;synergi;cro;Functio;台灣省;sys;Interfa;static;福建省;Froze;Man;withdrawal Handmade Home;withdra;deposit;Mul;alarm L;Sausage;bus;福建省 wit;functio;cli;Cambridgeshire;Hat;Orchest;ban;Tactics;African;Mul;streaml;synthes;syn;RAM;kille;Borde;Direc;9570;Sausages tan customized;infrastructures Comp;Cambridgeshire;東路;F;38880;Toys;withd;P;2022-07-10T17:25:04;Multi-layered online;2022-07-11T03:44:02;Handcrafted Orchestr;lime static
9;Kids Global Salad;Small Berkshire;2022-07-10;91805;C;2022-07-10;ADP;22791;8608;96158;43351;72267;62144;85763;42106;65253;46798;6751;88403;99075;17171;8913;52557;91331;17799;42907;14327;18433;in;mi;Games Soft;Forwa;Kids;Pa'an;bifur;array;Tuna;Usabi;exuding;Concrete Intuitive 福建省;Public-key;multi-b;stable ;Cot;Usabili;deposit;HDD;morph C;payment;Mex;PNG G;pix;AI 台灣省;Dynamic;multi-b;Dol;License;seize S;con;Develop;Clothin;SQL;drive;multi-s;didacti;mic;standar;Berkshi;mul;Fish st;Profoun;Woo;bluet;Direc;Rubbe;robus;47492;Fish synergy Metal;calculating line syn;Plastic;Wooden indigo pink;福;79353;lavender;Decen;M;2022-07-11T05:31:41;extensible Checking ;2022-07-10T14:11:07;Moroccan Computer;generating turn-key 
10;Kwanza Expanded syste;paradigms;2022-07-10;61730;o;2022-07-10;Sweden Shoes;55832;52224;10998;56815;33104;82301;91837;81790;70839;83180;35531;17813;18635;96832;46685;84538;29185;74004;48069;18313;16812;AG;Pr;Macao;Kwach;calcu;missi;Compu;Resea;blue;fuchs;Card;北路 revolutionary pink;blue;compres;Legacy ;Sau;calcula;台灣省 dig;福建省;Solutio;empower;北路 ;Music;fir;copying Coordinator;福建省;multi-t;PNG;bypassi;input;con;Steel L;Armenia;Han;Unbranded Practical;redefin;User-ce;Inf;functio;robust ;fuc;Cotton;Marketi;ubi;exten;Car A;Inter;Peso;76801;Cambridgeshire Loan Consultant;Granite;auxiliary hierarchy generate;envisioneer iterate;A;72163;Table Hat;Cross;B;2022-07-11T05:46:58;payment Salad Taka;2022-07-10T22:07:42;Sleek Investment ver;Regional
