id;wkut;prjno;year;p_unit;grade;p_type;p_name;create_date;create_user;update_date;update_user;u_ip;p_sdate;p_edate
1;SMS;relationships Burkina Usability;Awe;Salad withdrawal Ame;R;visionary 路;pixel Berkshire Tobago;2022-07-18T14:54:19;Exclusive emulation ;2022-07-19T02:37:02;1080p;Customizable 西路;2022-07-19;2022-07-19
2;payment Awesome;Producer neural withdrawal;Fan;Officer;C;virtual Reactive;Global Synchronised;2022-07-19T02:21:29;Directives web-readi;2022-07-18T18:41:12;override Response Ci;withdrawal Principal;2022-07-18;2022-07-18
3;Gold deposit quantify;Home 福建省;Cen;Identity 台灣省;c;南路;withdrawal HTTP;2022-07-19T12:39:36;Tuna;2022-07-19T01:06:24;Solutions;e-business 福建省;2022-07-19;2022-07-19
4;structure;zero deposit;sup;Specialist calculati;o;Orchestrator;seize Salad Wooden;2022-07-19T08:47:37;路 Berkshire;2022-07-19T06:11:26;Ergonomic Identity D;calculate Face FTP;2022-07-19;2022-07-18
5;HDD haptic;Loti;街;Fiji Web;A;Coordinator;Liaison Assistant global;2022-07-18T14:54:43;Ball Technician;2022-07-18T17:38:03;Compatible Planner s;Plastic;2022-07-19;2022-07-19
6;Configurable;azure Program invoice;Ope;payment copy;e;Ball incentivize;panel 北路 Swedish;2022-07-18T20:14:28;feed transmitter Sal;2022-07-19T03:36:34;solutions Territorie;solution program District;2022-07-19;2022-07-18
7;南路 Central;user-facing Managed 西路;ter;static Configuration;B;西路;Human Balboa;2022-07-18T22:15:50;XML deposit Forward;2022-07-19T03:17:25;福建省;Rubber Tasty;2022-07-19;2022-07-19
8;Dollar concept;Right-sized task-force;Fro;Grocery firewall;F;panel;Pants withdrawal synthesize;2022-07-19T13:14:09;orchid Borders;2022-07-19T09:04:10;台灣省;Lithuania real-time;2022-07-19;2022-07-19
9;extend Franc;content;plu;Nepalese 北路 Licensed;B;福建省;feed alarm alarm;2022-07-19T06:22:11;Shoes;2022-07-18T21:52:10;monitoring white ove;東路 web-readiness;2022-07-18;2022-07-19
10;Australia;Agent;Lic;parse;F;quantify Dollar;西路 Dirham;2022-07-18T17:02:39;Wooden Salad transmi;2022-07-19T10:21:25;Pizza Granite syndic;TCP e-commerce District;2022-07-19;2022-07-18
