pro_information_role_id;pro_information_id;role;update_time;update_user;create_time;create_user
1;50745;Buckinghamshire driver Group;2022-02-24T17:40:17;福建省;2022-02-24T19:50:04;bypass Steel context
2;95948;Markets Frozen;2022-02-24T09:27:05;fuchsia;2022-02-24T06:19:47;alarm
3;18938;Kids primary;2022-02-25T02:39:37;台灣省 Salad Plastic;2022-02-24T12:38:43;4th 福建省 Georgia
4;87708;e-tailers;2022-02-24T07:26:27;Algerian;2022-02-25T01:21:51;Granite withdrawal
5;3650;bandwidth;2022-02-24T14:47:05;Pizza Granite e-mark;2022-02-24T12:36:45;Fish incubate Analys
6;55057;Practical protocol;2022-02-24T15:52:12;customer;2022-02-24T04:17:55;Cambridgeshire strat
7;73263;Universal;2022-02-24T07:31:24;GB Director Senior;2022-02-24T20:44:13;killer
8;60723;International up;2022-02-24T13:35:34;Corporate Fantastic ;2022-02-24T14:48:30;Tanzanian
9;64240;disintermediate Granite;2022-02-24T07:13:24;Lesotho payment;2022-02-24T03:56:38;viral forecast
10;94830;Outdoors synthesize paradigm;2022-02-24T06:36:44;CSS;2022-02-24T03:49:22;台灣省 Industrial
