id;role_type;module_type;role_id;update_user;update_time;create_user;create_time;business_type;approve_level
1;S;Dir;green withdrawal;Factors;2022-05-11T09:26:19;Future;2022-05-11T19:42:24;users transmitting C;Small Concrete
2;c;dep;optimal Automotive n;communities;2022-05-11T22:39:04;Switchable navigate ;2022-05-11T22:48:56;payment deliverables;Administrator 5th
3;m;ind;福建省 Unbranded;Ouguiya calculating;2022-05-12T01:17:25;streamline;2022-05-12T08:33:46;Cambridgeshire back-;Card Wooden
4;A;COM;Dollar;scalable;2022-05-12T07:40:03;Bedfordshire;2022-05-11T17:45:13;Savings Shirt maroon;Tasty Specialist env
5;f;ala;quantify Checking;lime Factors;2022-05-11T22:49:19;hack Chief;2022-05-11T18:57:00;capacitor;violet synergize Fut
6;U;Rub;quantifying;payment;2022-05-11T22:50:00;circuit JSON;2022-05-11T20:06:43;Sausages;Factors Refined Mona
7;S;gre;Garden Architect dri;路 Sleek;2022-05-12T02:52:04;dot-com;2022-05-11T13:02:00;dynamic;Bedfordshire
8;福;mob;virtual;1080p;2022-05-12T04:27:41;台灣省;2022-05-11T08:49:31;Rubber;Future Card
9;S;Awe;Integration 福建省 台灣省;Clothing hack Grocer;2022-05-12T02:50:15;Brand;2022-05-11T10:07:16;Outdoors;dot-com Kina Interna
10;C;con;Cross-platform;Rand systems;2022-05-12T04:19:34;Chief virtual;2022-05-11T15:46:25;Bangladesh generatio;Cotton
