id;wkut;dis_no;dis_name;dis_plce;work_type;est_budg;work_item;veri_budg;veri_2_budg;veri_2_item;veri_3_budg;veri_3_item;tm_2_x;tm_2_y;noty_budg;noty_budg_0;veri_3_budg_0;dis_rmk;s_actdt;s_actdt_0;s_aedat;s_aedat_0;chg_rmk;del_resn;del_resn_2;create_date;create_user;update_date;update_user
1;cultivate;Auto;encryption compress Dollar;Leone indexing invoice;Ki;51615;Account Senior Loan;18238;2435;orchid Manat;46220;connect;solid monitor;Integration platforms;Legacy;92598;35985;Kiribati Steel copy;2022-06-21;2022-06-21;2022-06-21;2022-06-22;Guinea heuristic;i;C;2022-06-21T16:43:45;schemas;2022-06-22T06:56:24;Toys
2;Mongolia Stand-alone;salmon Investor Froz;SAS;Granite Infrastructure;gl;96576;magenta;18696;16554;Dirham red;49427;Platinum 福建省 protocol;enterprise;Synergistic 西路;evolve Manager;2011;2165;withdrawal Cambridgeshire Chair;2022-06-21;2022-06-22;2022-06-22;2022-06-21;connecting;v;e;2022-06-22T11:00:04;Account wireless;2022-06-22T07:21:49;user
3;Account incentivize H;Principal deposit;Future-proofed connect Verde;cohesive;ha;15549;synergistic Gorgeous 福建省;14442;43590;Networked Namibia;45639;open-source navigating Reverse-engineered;Tuna Som;indigo;orchid Cambridgeshire index;57935;59919;withdrawal;2022-06-22;2022-06-21;2022-06-21;2022-06-22;pink;T;e;2022-06-22T08:49:36;Car;2022-06-21T23:12:22;Convertible copy Cor
4;Berkshire;Principal GB real-ti;primary syndicate;Syrian;cr;70476;台灣省;51683;67522;override;36414;network;attitude-oriented Product Buckinghamshire;Territories Avon Silver;infrastructures;76529;71522;object-oriented;2022-06-21;2022-06-22;2022-06-21;2022-06-21;user-centric Paradigm;A;r;2022-06-21T14:03:36;西路 implement;2022-06-21T12:23:16;Rustic online
5;Configuration Music;virtual eyeballs;GB Intelligent;experiences Thailand 24/7;Ac;22742;integrated Architect Human;42431;48278;Account International open-source;76113;metrics;Regional;Legacy;Borders;74608;72112;calculate;2022-06-22;2022-06-22;2022-06-22;2022-06-21;web-enabled deposit 台灣省;p;C;2022-06-21T21:58:56;Rwanda bandwidth;2022-06-21T13:28:21;enterprise
6;Pants Concrete viral;bluetooth RSS paymen;copy Account Technician;Monitored seamless secondary;Ex;70706;platforms;44580;1539;intuitive Pound;4759;invoice auxiliary;Checking;focus withdrawal foreground;Metal Automated;16015;14981;Future;2022-06-22;2022-06-21;2022-06-21;2022-06-21;Buckinghamshire Shoes;i;P;2022-06-22T08:34:40;quantify program Sma;2022-06-21T14:22:49;overriding structure
7;convergence;Graphic;azure Borders online;redundant deposit Implementation;ba;73651;福建省 ubiquitous;16552;4802;南路;49125;Usability;artificial;Home Upgradable Handcrafted;synthesize flexibility interface;69961;99680;Garden FTP;2022-06-22;2022-06-22;2022-06-21;2022-06-22;program Handcrafted;h;e;2022-06-22T00:28:16;regional Market;2022-06-21T22:05:01;bus Computer
8;encompassing 福建省;Borders;Computers;synthesizing Berkshire;西路;34295;Money Customer;44287;31670;payment;99913;Computer;Steel Bedfordshire;Computer 福建省 Wooden;台灣省;96901;97642;feed;2022-06-22;2022-06-22;2022-06-21;2022-06-21;innovate Integrated;a;A;2022-06-22T05:20:36;Australian Concrete;2022-06-21T12:51:58;Tools Quality-focuse
9;Executive 福建省 Account;東路 路;override Configuration Pakistan;Internal parse;Mo;26166;bi-directional approach;40285;28100;Unbranded Centralized;95326;algorithm payment Beauty;benchmark Assurance;purple;Home 東路;97229;36530;Pants;2022-06-21;2022-06-21;2022-06-22;2022-06-21;teal Handcrafted;M;C;2022-06-21T18:11:22;Burundi 福建省 Advanced;2022-06-21T14:49:20;Tuna Garden Car
10;transition connect le;Representative;quantifying Emirates;Cotton Assimilated Clothing;Ma;1206;Communications Loan;79423;95517;panel Tuna;96960;hard Plastic Legacy;best-of-breed;e-tailers connect solid;Soft Specialist;33630;10971;Concrete Agent e-commerce;2022-06-22;2022-06-21;2022-06-22;2022-06-21;Fish Devolved;e;I;2022-06-22T07:22:30;hard users deposit;2022-06-22T06:49:11;Tugrik seize Reunion
