pro_information_id;subject;text;kind;location;attributes;role;appendix_link;release_date;down_date;release_unit;contact_person;contact_information;enable;update_time;update_user;create_time;create_user
1;azure gold;Republic content;Bacon;"B";"2";"1";Sausages;2022-02-13;2022-02-14;silver strategy;real-time productivi;homogeneous;"Y";2022-02-13T16:09:07;Functionality;2022-02-13T19:05:15;福建省
2;福建省;Devolved;multi-byte;"0";"1";"0";Tuna Tools;2022-02-14;2022-02-13;IB;Metrics Product;bandwidth Directives;"N";2022-02-14T02:50:41;model Planner 台灣省;2022-02-13T23:32:08;Sleek Associate Tugr
3;JBOD;withdrawal Account;proactive Singapore matrices;"A";"1";"0";bypassing;2022-02-13;2022-02-14;Movies Borders;路 access Keyboard;Re-engineered Monetary (Vatican;"N";2022-02-14T04:03:35;attitude convergence;2022-02-14T02:54:37;secondary
4;payment ubiquitous lime;logistical;Gloves;"A";"2";"0";Investor Dirham;2022-02-14;2022-02-13;Steel;Lead;西路 SMS drive;"Y";2022-02-13T07:40:12;invoice Cotton Avon;2022-02-13T19:52:43;Fish Kids
5;Gloves generating generating;IB Dalasi back-end;Director;"A";"2";"0";connect Loan;2022-02-14;2022-02-13;infrastructures Wood;compressing;福建省 Reverse-engineered;"N";2022-02-13T18:46:55;Uganda Functionality;2022-02-13T17:36:19;synthesize
6;Coordinator Loan connecting;Gloves Kids 福建省;Branding;"0";"1";"1";networks;2022-02-14;2022-02-14;withdrawal;Buckinghamshire invo;西路 open-source Berkshire;"N";2022-02-13T14:40:15;States Principal;2022-02-13T19:35:21;user-centric
7;reciprocal navigate;monetize Sharable;Mouse global;"B";"1";"0";e-business structure Handmade;2022-02-14;2022-02-13;Manager navigating;Salad hacking;quantify;"N";2022-02-14T03:19:17;Ergonomic;2022-02-13T23:16:17;feed
8;payment;Cheese alarm haptic;firewall;"A";"2";"1";Secured;2022-02-13;2022-02-13;Future product port;Executive Towels;Concrete up Steel;"N";2022-02-14T01:16:56;Marketing;2022-02-13T19:17:12;Borders frictionless
9;compressing Games Car;markets maximized;Wooden orange coherent;"0";"2";"1";haptic;2022-02-13;2022-02-14;deposit 台灣省;frictionless 路;西路;"N";2022-02-14T06:44:16;primary;2022-02-13T16:12:51;Direct expedite
10;Executive;Lead neural implementation;auxiliary Fantastic cultivate;"A";"2";"0";Web;2022-02-13;2022-02-13;interactive;hack;Granite;"Y";2022-02-14T00:56:37;COM Auto;2022-02-13T12:04:35;calculate
