id;role_type;module_type;business_type;user_id;update_user;update_time;create_user;create_time
1;Con;azu;online;Market redundant;Developer Cambridges;2022-05-11T09:16:13;Unbranded Martin;2022-05-11T21:02:56
2;dat;台灣省;Technician success T;navigate;Chips matrices Integ;2022-05-12T01:57:34;Computers;2022-05-11T17:17:57
3;qua;ove;Wooden strategic eng;西路;Human software withd;2022-05-11T09:11:57;Assistant 台灣省;2022-05-11T19:42:59
4;Sau;Fis;Cross-platform partn;black Architect maxi;holistic;2022-05-12T07:52:56;mission-critical For;2022-05-11T17:17:29
5;Gen;inv;SAS Chad B2B;Chief;Tasty Quality Franc;2022-05-12T01:41:37;Representative payme;2022-05-11T14:05:10
6;Pra;SMT;virtual Generic;copy;online collaboration;2022-05-12T05:05:19;Dong Account deliver;2022-05-11T16:18:18
7;att;vio;Multi-lateral 街 copy;navigating;implement;2022-05-11T10:22:04;Small Tuna;2022-05-12T03:04:13
8;Woo;福建省;Bedfordshire;Division azure gener;Swaziland;2022-05-12T00:39:19;Soft;2022-05-12T01:12:25
9;Clo;路 H;panel;東路 teal Branding;Towels Identity;2022-05-11T09:43:35;路 Serbia;2022-05-11T21:29:16
10;Cam;inn;Computers;application Response;European Internation;2022-05-11T23:24:10;Plastic Architect;2022-05-11T19:12:46
