pro_no_communicate_list_id;pro_org_suggestion_id;no_communicate_type;update_user;update_time;create_user;create_time
1;60511;路;街 neural synergy;2022-04-18T03:27:51;deposit Ergonomic pr;2022-04-18T16:45:48
2;69157;I;Tools Fish;2022-04-18T15:41:15;withdrawal violet;2022-04-19T00:39:08
3;2404;r;Associate lime;2022-04-18T04:16:27;schemas Metal;2022-04-19T01:18:26
4;79672;c;台灣省 Creative;2022-04-18T08:26:20;quantify neural;2022-04-18T05:42:44
5;63926;i;Awesome Bacon;2022-04-18T07:00:52;Berkshire one-to-one;2022-04-18T12:56:50
6;4554;E;街 state;2022-04-18T22:47:44;schemas;2022-04-18T08:36:28
7;11391;福;Specialist;2022-04-18T07:13:34;e-markets Fresh depo;2022-04-18T20:01:46
8;65811;C;Principal Vision-ori;2022-04-18T19:51:14;Shoes Corporate;2022-04-18T20:23:45
9;99461;P;Handmade;2022-04-18T21:48:29;transform;2022-04-18T17:21:45
10;50046;n;coherent Buckinghams;2022-04-18T07:52:28;Awesome;2022-04-18T08:53:45
