wkut;prjno;sdate;prm_no;ct_unit;ccut;stype;violate_date;prm_title;violate_fact;create_d_ate;create_user;update_date;update_user;u_ip;wdayed
ba2a41bf-1ac6-4389-88;Manat 台灣省;2022-05-17T10:34:46;Awesome RSS;Fi;analyzer k;福建;2022-05-18T04:00:28;invoice Buckinghamshire Enterprise-wide;encryption;2022-05-17T22:32:18;Steel Multi-lateral;2022-05-17T11:07:33;Bedfordshire Soft mu;IB Cotton Forward;9736
9cb2a7c5-7a83-4cea-80;high-level payment Producer;2022-05-17T16:51:49;Computer;St;台灣省 Automo;In;2022-05-17T20:42:50;monitoring;Cambridgeshire utilisation Investor;2022-05-18T03:35:07;Account 南路 capacitor;2022-05-17T08:08:41;Rustic;Planner;81913
13a3ac3c-03c2-4fe7-98;Cambridgeshire Gorgeous;2022-05-17T18:41:54;Avon;Ac;needs-base;Ac;2022-05-17T09:56:18;Concrete;Car 台灣省 5th;2022-05-17T07:15:33;Fresh;2022-05-18T02:49:32;maroon magenta Creat;silver;79957
01191316-3d18-4bcc-8a;Steel Soft open-source;2022-05-17T16:43:19;compressing Bike;ex;implement ;西路;2022-05-17T12:35:30;Borders Fresh Functionality;Belize 台灣省;2022-05-17T07:30:52;microchip discrete G;2022-05-17T09:41:25;best-of-breed human-;Refined;41613
589fce12-5a71-4903-85;digital;2022-05-17T10:39:32;context-sensitive Handmade;in;Saint Tuna;in;2022-05-17T23:18:35;Borders;Silver;2022-05-18T00:38:23;lime Intranet;2022-05-17T20:52:14;deploy Planner Loan;福建省 Personal Berkshire;78560
0328931c-33d7-4e22-aa;mobile;2022-05-17T15:50:08;XML;Sy;Program of;台灣;2022-05-17T22:01:08;Account Investment iterate;Buckinghamshire;2022-05-17T12:35:09;functionalities;2022-05-18T06:28:16;福建省;Books architect;58032
38b2f1d1-00cb-4388-89;台灣省 Music;2022-05-17T07:24:59;Paradigm explicit;Gr;Democratic;Hu;2022-05-18T01:32:23;Implemented;Haiti;2022-05-17T19:47:00;yellow;2022-05-17T23:42:38;teal 路 東路;Auto Seamless;80389
3afc674f-c2b3-4986-86;東路 program;2022-05-18T04:50:35;Front-line Intelligent Cotton;pa;Bedfordshi;Pr;2022-05-18T01:10:24;defect;convergence Open-architected International;2022-05-17T08:30:44;Supervisor deposit e;2022-05-17T22:07:33;quantifying COM;Borders;78437
96a035ce-77ef-4486-92;Future payment orchestrate;2022-05-18T04:02:13;Incredible;e-;productize;Av;2022-05-17T14:07:38;JBOD;Democratic Pants;2022-05-17T19:05:50;Configuration;2022-05-17T12:11:38;payment generating;Investment ROI Music;7369
64df9f9a-5be8-425b-8a;adapter parse Cambridgeshire;2022-05-17T10:22:41;Switchable Applications;pr;Somoni;ma;2022-05-17T19:30:37;e-commerce redefine calculate;International;2022-05-17T10:06:37;well-modulated 東路;2022-05-17T20:59:43;Unbranded;technologies;51565
