id;wkut;prjno;year;month;e_code;e_cnt;e_remark;u_ip;sup_ccut;create_date;create_user;update_date;update_user
1;Card 路;time-frame discrete eyeballs;sen;re;backi;mobile Congo;reinvent;Iraq Ngultrum initiatives;withdrawal;2022-04-25T21:41:54;Garden Bedfordshire;2022-04-26T04:10:09;Fish sky 南路
2;Ball 福建省 Unbranded;Secured lime;Sof;福建;Aweso;optical Paradigm Per;purple array impactful;mobile;西路;2022-04-25T07:55:24;bypass 福建省;2022-04-25T19:38:58;impactful
3;Mobility;global context-sensitive 路;aux;ex;enabl;synergies payment Sa;transmit explicit;Licensed infrastructure;pixel Auto;2022-04-26T05:06:53;Central;2022-04-26T02:38:45;Namibia Avon
4;dot-com Corporate Sen;expedite 北路 Fantastic;西路;Be;Accou;福建省 Sleek Table;Steel mission-critical connect;transform array Clothing;ubiquitous;2022-04-25T18:45:25;Interactions ivory w;2022-04-25T12:17:37;program
5;Officer haptic;stable Concrete Berkshire;Fij;re;Kwach;initiatives;Table;Belize Facilitator Fantastic;Strategist;2022-04-25T14:01:39;withdrawal Hat Inter;2022-04-25T11:20:57;pixel full-range
6;Account Dollar online;Rwanda azure;Pla;Gu;Legac;action-items;red impactful;路 wireless;withdrawal;2022-04-25T08:35:04;Brand 福建省;2022-04-26T04:16:43;Sports convergence E
7;Strategist Developer ;pixel Bike;Leg;Al;Books;cross-platform 東路 Fu;Specialist Functionality Gambia;Gloves integrated;intuitive;2022-04-25T19:04:10;Frozen;2022-04-25T19:39:26;withdrawal Dinar
8;東路 Loan;Principal Customer program;FTP;co;Accou;GB;Netherlands;北路 Kids Toys;maroon Isl;2022-04-26T04:31:27;context-sensitive sc;2022-04-25T12:25:02;Tuna cyan system-wor
9;real-time Associate p;Consultant salmon;exp;ha;Uzbek;Virtual;Computers user-facing SAS;Handmade;Senior bac;2022-04-25T18:38:56;expedite client-serv;2022-04-26T01:28:09;台灣省
10;programming Rubber;Bedfordshire Manager;rec;fl;depos;stable;Rupee 西路 indigo;Managed Account;Sharable d;2022-04-25T20:22:07;connect;2022-04-25T20:51:22;Unbranded
