id;wkut;prjno;sdate;stype;media;died_num;hurt_num;disaster_script;pe_date;prm_no;me_date;mrm_no;remark;conf_out;ct_unit;ctr_no;ccnt;ccut;respons;wdayed;respons_2;create_date;create_user;update_date;update_user;u_ip;pedatm;medatm
1;Buckinghamshire Accou;hard Avon;2022-05-29;Sw;District Manager;55362;26396;福建省;2022-05-29;Human 南路 panel;2022-05-29;Legacy;Personal;47115;ma;Fundamental motivati;parsing;ivory enco;Chief;28200;parse paym;2022-05-30T02:07:39;Bedfordshire distrib;2022-05-30T01:59:42;markets Rubber navig;overriding indigo;Web Mouse Rustic;Personal
2;calculate;program Associate;2022-05-30;mo;CSS;10605;51939;Salad web-enabled open-source;2022-05-30;Computers Rustic Assistant;2022-05-29;bypass Digitized;Proactive B2C;7150;ha;路;Soap firmware Practical;北路 overrid;sexy Open-;95922;Berkshire ;2022-05-29T22:32:45;Leu Keyboard;2022-05-29T20:36:43;Loan feed Strategist;Cambridgeshire;Nepal empowering Infrastructure;Synergistic HTTP grey
3;Branding Refined blue;Orchestrator;2022-05-30;Su;up connect;79068;38947;Wooden;2022-05-30;Chair;2022-05-29;paradigm 北路;Berkshire Books global;81858;dr;Loan Tools;Shirt Ergonomic;CSS;Guadeloupe;93308;Berkshire;2022-05-30T04:28:16;hacking Cotton;2022-05-30T03:50:36;Engineer;Sports;Future;Keyboard Grocery user-facing
4;Loan engage 福建省;Direct Synchronised ;2022-05-29;Co;service-desk;93662;3129;alarm solutions Kids;2022-05-30;state Planner;2022-05-29;hard Paradigm calculating;global Fantastic;5525;vi;blue revolutionary G;paradigms reboot;red Home a;Aruba Upgr;51037;deposit;2022-05-30T03:00:57;福建省 Dong virtual;2022-05-29T14:43:08;SQL Steel 福建省;Burkina payment didactic;Steel extend;Dollar withdrawal
5;Guam end-to-end;synergize;2022-05-30;Sa;Account;36027;10055;Integration Practical;2022-05-29;purple Borders Legacy;2022-05-29;e-services;cutting-edge;36740;Ma;orange;protocol;Future-pro;Music Tugr;44803;ivory Jewe;2022-05-29T23:45:40;Small Wallis;2022-05-30T04:27:19;Small;Steel Steel digital;Metrics fault-tolerant;Creative 台灣省 Wooden
6;logistical;Salad input;2022-05-29;Be;Automotive;62028;22517;frictionless Bike defect;2022-05-30;Automotive vortals encoding;2022-05-29;Future-proofed;北路;69171;Ch;Jewelery Product Nig;Checking Facilitator;e-enable;zero;93593;quantify;2022-05-29T14:03:01;福建省;2022-05-30T07:25:32;Industrial 福建省;Electronics Ergonomic Soap;generate Customer Soft;Hat Mauritania
7;turquoise project Ele;Metal;2022-05-29;Go;Cheese infrastructure Unbranded;38313;33290;New Bedfordshire;2022-05-30;Representative Savings;2022-05-29;北路 福建省 Cambridgeshire;TCP;37246;Ha;Savings Borders;Frozen Total portals;capacitor;Open-archi;75196;Avon;2022-05-30T04:52:29;台灣省 Greece Optional;2022-05-30T04:20:17;extend Synchronised;Small Kids end-to-end;withdrawal Riyal cross-platform;南路 transmit Buckinghamshire
8;Soft Handcrafted end-;revolutionary Vision;2022-05-29;se;台灣省 maximize;19245;10666;Handmade invoice;2022-05-29;Soft;2022-05-30;Savings hacking Bacon;Home salmon Security;2356;Co;index;Product Associate;generating;blockchain;12334;EXE;2022-05-29T20:57:55;台灣省 copy;2022-05-29T18:11:16;Internal backing Dyn;Account payment;Pants Open-architected Diverse;Interactions Computer 台灣省
9;Account needs-based I;Integration;2022-05-29;SM;東路 application Mali;10893;40984;parallelism;2022-05-29;sensor;2022-05-29;embrace;back-end;58321;Ad;application;SMTP Dynamic;technologi;南路;3924;program;2022-05-29T21:45:06;Grocery Configuratio;2022-05-29T22:48:43;Tunisia bluetooth Sm;Salad Games;Account Intelligent;Paradigm THX Towels
10;Frozen array Salad;Computer Forint;2022-05-30;As;District Networked Practical;43094;55398;full-range Health;2022-05-30;relationships dedicated;2022-05-29;users;even-keeled hardware;97079;Qu;Borders;東路 Fish;Public-key;台灣省 overri;60568;SSL levera;2022-05-29T14:14:13;台灣省 RAM;2022-05-29T15:14:33;Officer Practical;HTTP;even-keeled 台灣省 街;stable interface 北路
