id;wkut;prjno;year;month;syr;mft;mfas;mfrt;ok_date;d_status;create_user;create_date;u_ip;update_user;update_date;mfru;mfrs;fal_rate;respons;mether;column_1;column_2;column_3;column_4;column_5;column_6;column_7;column_8;column_9
1;西路 Bike;Handcrafted;Eng;Fu;Dji;SCS;cohesive;Granite 台灣省;deplo;P;Money 北路 Personal;2022-04-25T23:08:44;neural;Cheese withdrawal;2022-04-26T02:22:31;Profit-focused bus Configurable;o;52641;C;pr;area Loan program;collaborative Web Fu;RSS;Home;payment Bedfordshire;haptic Soap Chief;Front-line;infrastructure Music;USB Metal
2;Towels strategy port;Account;byp;Me;opt;福建省;Books;empower back-end;Speci;P;Grocery synergistic ;2022-04-25T22:43:42;transmitting engineer;connecting transmit;2022-04-25T15:24:29;Right-sized;y;57114;r;In;Handcrafted;auxiliary AGP SMS;radical cross-media ;vortals Pants;action-items;Garden synergies;西路 Fully-configurabl;Handmade;Account parsing opti
3;systems;dynamic Forward;Gam;ex;Leg;pay;paradigm 南路;calculate;revol;B;Peso Account;2022-04-26T02:12:44;Borders;Shoes;2022-04-25T07:35:57;archive Mobility;i;31065;T;mi;reboot Directives ov;Checking India;Chair 福建省;Response;Loan;Officer override ope;overriding;deposit Lebanese syn;up Intelligent 街
4;Computer Pants backin;Card;Cam;Fr;Des;wir;Turkey copy;Agent Engineer;Marks;a;Health;2022-04-25T07:54:41;invoice array Games;Sleek 台灣省;2022-04-26T03:22:45;Licensed;B;64443;北;ne;utilize aggregate or;Soft hack;demand-driven Fish o;Bacon Representative;open-source supply-c;navigating;Enterprise-wide prog;Loan optical lime;Grocery Handmade emu
5;grow Enhanced 西路;Card Moldovan;Cen;Ca;cal;Pra;reboot;out-of-the-box;neura;H;optical Checking Kid;2022-04-25T13:55:31;invoice Agent Clothing;driver hack;2022-04-25T10:10:51;Tactics auxiliary;T;48578;P;Ac;Cambridgeshire;orchid e-business Bo;firmware hack;calculating;Paradigm;invoice;Response Frozen;value-added;Electronics 路
6;quantify;SDD Intelligent Fresh;福建省;Qu;hap;Toy;maroon;rich;payme;O;Beauty Kina;2022-04-26T01:56:14;Applications Manager channels;Steel Sleek Direct;2022-04-25T10:57:41;National;P;3160;街;so;Books initiatives Ma;lavender digital;Mali Fresh repurpose;vertical Clothing Cu;Guinea connecting Do;multi-byte;Berkshire;Lempira Division;Rubber
7;北路;flexibility;aux;in;com;Lit;Fantastic Creative withdrawal;hack next;Orche;R;PCI Cotton;2022-04-25T12:40:49;invoice black;fuchsia back;2022-04-26T03:14:20;Response;c;95205;福;Op;firmware;Toys navigating;Small;optical black Qualit;街 Savings quantifyin;lavender;indigo;Loan ROI;Card
8;Intelligent Legacy in;Intelligent 北路;qua;HD;台灣省;路;Organic Steel end-to-end;Integrated next copy;Bacon;I;Berkshire;2022-04-25T11:03:18;purple relationships;bus;2022-04-25T06:39:55;compressing Practical deposit;台;96719;I;ar;Japan Automotive rea;福建省;Tasty 福建省 Small;Outdoors;Rupee 西路;content;福建省 program converge;Card niches PNG;Unbranded
9;Investment;application incentivize neural;Sup;In;Hom;Gam;Buckinghamshire;福建省 Computers Implementation;Funda;s;XML Technician;2022-04-25T14:27:47;Toys CSS;福建省;2022-04-26T02:46:11;teal Keyboard 1080p;D;72840;c;mo;Customer override;Supervisor product S;Open-source optimizi;Fresh Borders;Australia uniform 台灣;Rubber;indigo;南路;南路 Intuitive
10;Dynamic;Trinidad;SCS;台灣;ban;Ass;drive Berkshire Beauty;台灣省 unleash TCP;calcu;P;Open-architected con;2022-04-25T19:56:16;Steel;Wooden;2022-04-25T08:42:44;portals salmon;h;10553;b;TC;Tuna program generat;Security Handcrafted;lime;Concrete;portal Personal;integrated Electroni;Coordinator Ecuador;Intelligent Books;Keyboard Ergonomic
