pro_information_module_id;pro_information_id;module;update_time;update_user;create_time;create_user
1;37206;utilize Tuna e-business;2022-02-24T16:34:58;台灣省 THX 東路;2022-02-24T17:09:31;Lilangeni haptic
2;60427;Frozen Markets;2022-02-24T10:14:57;台灣省 台灣省;2022-02-25T02:26:15;Data Soft virtual
3;67488;Rwanda;2022-02-24T14:57:53;Avon copy;2022-02-25T01:59:59;moratorium
4;99743;wireless 台灣省;2022-02-24T03:45:38;Buckinghamshire fron;2022-02-24T15:21:20;up streamline
5;46566;台灣省 Cotton;2022-02-24T21:47:21;Industrial Response;2022-02-24T14:46:08;Bahamian
6;95995;world-class;2022-02-24T15:46:58;compress Unbranded T;2022-02-24T04:35:37;override
7;55386;transitional 台灣省;2022-02-24T23:11:05;Borders Operations;2022-02-24T14:32:35;Markets calculating 
8;9733;福建省 Intuitive Cambridgeshire;2022-02-24T14:19:23;Team-oriented overri;2022-02-24T18:25:43;Credit 福建省
9;13430;area;2022-02-24T23:29:40;Baby;2022-02-24T21:06:29;Polynesia
10;26867;International Distributed Industrial;2022-02-25T03:23:46;THX;2022-02-24T18:24:03;RSS
