id;geo_job_id;salary_range;work_place_list;work_place_desc;other_comment;publish_date_start;publish_date_end;publish_status;job_title;is_approve;job_type;type_1_list;type_2_list;type_3_list;person_count;reject_reason;is_public;mobile_tel;contact_tel;contact_person;create_user;create_time;update_user;update_time;transfer_date;transfer_from;job_kind
1;17561;architect;Creative reboot pixel;optimal user-facing;synthesizing Solutions;2022-06-19T11:48:03;2022-06-19T15:08:59;g;Investor Interactions Strategist;I;Assistant moderator;redundant;Account;JSON Account compressing;2091;transmit 路;M;AGP rich;Factors PCI;Baby;Towels XML;2022-06-20T01:33:35;Paradigm;2022-06-19T09:23:22;2022-06-19T15:08:04;Open-architected didactic core;c
2;20383;Avon Dong dot-com;Generic;navigating;Paradigm;2022-06-19T08:46:26;2022-06-20T06:04:32;C;Dynamic Data Planner;D;white implement disintermediate;generate definition 西路;supply-chains Music Cotton;New;6466;Corporate;C;Republic;Avon implementation visualize;Soft virtual Unbranded;bandwidth dot-com;2022-06-19T16:24:34;Pound Health;2022-06-19T11:02:53;2022-06-19T18:54:04;Dynamic Rustic;C
3;59402;revolutionize Practi;Loan;yellow index impactful;explicit solution;2022-06-20T01:37:29;2022-06-20T06:26:11;w;Future Factors Planner;P;Analyst green;best-of-breed 西路;Dynamic Interactions whiteboard;Open-source interface;75102;Analyst 東路;C;panel vortals withdrawal;core;deposit project;Associate;2022-06-20T04:09:23;Gorgeous strategy;2022-06-19T20:07:13;2022-06-19T11:01:04;台灣省;r
4;29629;台灣省 ADP Sierra;Credit Small;Ball transmitting;Loan;2022-06-19T12:38:48;2022-06-20T06:34:20;d;Internal Optimization Agent;i;Practical tan;users JBOD invoice;Integration Keyboard;Personal;95686;街;B;Music connecting Card;Kids Metical Table;reintermediate;Customizable open-source;2022-06-20T08:15:19;Loan Towels Lebanese;2022-06-19T10:16:15;2022-06-19T15:19:00;SSL override Faroe;路
5;64254;red;Mouse Research experiences;monitoring;福建省 empower;2022-06-19T18:39:57;2022-06-19T18:58:53;R;Lead Operations Officer;c;local;Integrated programming;bypass;Cheese green Electronics;55062;Solutions Legacy;福;Principal Liaison Dynamic;Metrics;Persistent;Cloned;2022-06-19T11:56:55;福建省 Assimilated;2022-06-19T15:14:28;2022-06-19T22:10:15;Executive;S
6;84533;withdrawal;Research;Future Greece;南路 Customer;2022-06-19T20:44:11;2022-06-20T01:00:10;i;Regional Solutions Coordinator;O;福建省;systemic;alarm;Money Electronics Account;27059;Leone;a;De-engineered;Interactions Pre-emptive synergies;Books;redundant engineer;2022-06-20T07:23:30;Investment transmitting 台灣省;2022-06-19T19:55:17;2022-06-20T06:34:54;state plum;P
7;48289;Response compelling ;Saudi reboot;Steel Corporate;auxiliary;2022-06-19T22:40:09;2022-06-19T09:15:17;G;Internal Program Developer;p;Marketing Dalasi driver;Soap;SMTP bypassing;Intelligent;92211;payment explicit architectures;R;南路 街;ADP;Branding;Horizontal mission-critical Clothing;2022-06-20T03:29:10;connecting application;2022-06-19T11:01:36;2022-06-20T04:01:05;haptic Berkshire;U
8;56075;Planner Car;engine;Afghanistan 福建省;transmitter;2022-06-19T19:23:36;2022-06-19T12:02:45;F;Central Creative Planner;B;Licensed wireless Salad;Directives;Shoes applications;Zambian;66642;RSS Car 台灣省;h;grey Nigeria;systems Franc;Organic communities Proactive;Personal back;2022-06-20T06:09:53;Steel 1080p;2022-06-19T23:05:21;2022-06-19T22:09:48;Metal hack deposit;b
9;16651;Gloves;green;deposit Wooden Corporate;index;2022-06-19T22:30:06;2022-06-19T15:34:17;D;District Implementation Designer;P;function;architectures;primary feed XML;Pizza;47655;approach generate Wooden;w;Bedfordshire;Loan;Optimization 街 vertical;Administrator Gorgeous Supervisor;2022-06-20T00:43:43;world-class;2022-06-19T10:12:06;2022-06-19T18:44:21;Gloves tangible deposit;S
10;21100;red parse Refined;南路 forecast;grey quantifying visualize;台灣省;2022-06-19T21:32:12;2022-06-19T09:30:45;B;Regional Response Strategist;街;calculate Optimization;Buckinghamshire generating;台灣省 state;Strategist Handmade Concrete;14002;Buckinghamshire;d;福建省 Security Account;background Baby schemas;Inverse invoice;Clothing Bedfordshire Handcrafted;2022-06-19T09:05:18;robust Associate Electronics;2022-06-20T03:43:43;2022-06-20T08:24:07;Plastic Zambian navigate;a
