pro_information_id;subject;text;kind;location;release_date;down_date;release_unit;contact_person;contact_information;enable;update_time;update_user;create_time;create_user
1;generating online Optimization;Sports;core Armenia SSL;"C";2022-02-24;2022-02-24;Buckinghamshire gene;revolutionize 東路;e-business open-source encompassing;"N";2022-02-24T15:14:03;Internal Engineer;2022-02-24T07:11:01;installation
2;online;Borders Loan Pants;intranet connecting;"A";2022-02-24;2022-02-25;Jewelery;disintermediate cros;Soap Assurance;"N";2022-02-24T04:46:35;Som 南路;2022-02-25T00:48:26;Italy
3;salmon;calculating Chair;compress Concrete mission-critical;"0";2022-02-24;2022-02-24;connecting Designer ;Pizza Engineer mobil;Refined;"N";2022-02-25T02:52:20;Account;2022-02-24T04:28:19;路 Ergonomic SCSI
4;PNG deliver;北路;Ergonomic;"C";2022-02-24;2022-02-25;North redundant;Optional;plug-and-play;"Y";2022-02-24T03:39:21;Handmade mission-cri;2022-02-24T17:17:41;deliverables
5;synthesize hack deploy;copying;Senior;"B";2022-02-24;2022-02-24;functionalities rese;Developer;Mobility Handcrafted;"Y";2022-02-24T04:42:07;sexy real-time;2022-02-24T07:01:22;路 adapter boliviano
6;orchestrate CSS;Avon array;SSL Customer;"B";2022-02-25;2022-02-24;福建省 XSS;Borders;generate 台灣省 Fantastic;"Y";2022-02-24T14:07:33;bricks-and-clicks co;2022-02-25T01:04:23;GB
7;Hryvnia;Soft monitor;路 e-enable open-source;"A";2022-02-24;2022-02-24;innovate incubate Ac;Personal Data archit;Concrete;"Y";2022-02-25T02:26:49;Dollar Shoes User-ce;2022-02-25T00:36:12;alarm Decentralized
8;Plastic neural;Belize array;東路;"B";2022-02-24;2022-02-24;RSS bypassing monito;web-readiness Multi-;engage 南路;"Y";2022-02-24T20:53:53;capability applicati;2022-02-24T09:37:16;Christmas
9;Jewelery Solutions B2C;services 福建省;Plastic encryption;"B";2022-02-24;2022-02-25;copy;microchip calculatin;Sudanese;"N";2022-02-24T18:40:53;enable scalable impl;2022-02-24T16:08:49;mindshare eco-centri
10;transmit Avon Automotive;capacitor;connect Unbranded 街;"C";2022-02-24;2022-02-25;payment;and cross-media;compressing 街 Implementation;"Y";2022-02-24T07:39:23;台灣省 Bike;2022-02-24T08:16:10;Designer Avon purple
