id;wkut;prjno;start_date;respons;duty;prm_no;nego_unit;stop_reson;nego_level;column_1;column_2;column_3;column_4;column_5;remark;e_remark;u_ip;create_user;update_user;conf_out;no_cnt_day;create_date;update_date;pe_date;end_date
1;Senior Garden digital;challenge;2022-06-08;n;F;deposit;SQL;Sa;SC;solutions quantifyin;Licensed Architect 北;infrastructures paym;Frozen Investment;Lilangeni;orchestrate;payment radical Towels;Metrics Metal gold;front-end Steel Chic;multi-byte;63150;69040;2022-06-08T19:56:27;2022-06-08T09:57:02;2022-06-08;2022-06-08
2;Keyboard deposit Acco;COM;2022-06-09;p;A;Rubber;Interactions;Do;In;incentivize;南路 Handcrafted;Avon Specialist Euro;街 Account 南路;hard strategy real-t;value-added;programming;hack Iraqi;District system-wort;Rupiah application;37677;7593;2022-06-08T23:18:36;2022-06-08T13:09:12;2022-06-09;2022-06-09
3;SCSI;Cayman Mouse;2022-06-08;G;c;calculate Designer Account;Card Computers methodologies;ar;ri;communities Pizza wi;optimal Colombia;capability;evolve Public-key bu;TCP;Handcrafted zero;feed;Coordinator;initiative;Administrator calcul;6297;12002;2022-06-08T23:14:26;2022-06-08T18:47:20;2022-06-09;2022-06-08
4;福建省 Cotton;Verde Team-oriented;2022-06-08;S;p;upward-trending;Berkshire Frozen 福建省;Ta;Pl;holistic reintermedi;pink application;User-friendly protoc;Franc payment Sleek;quantifying Steel;solutions partnerships;Internal;Azerbaijanian 福建省 Decentralized;Rubber;overriding Assistant;28431;19123;2022-06-08T18:09:15;2022-06-09T00:27:02;2022-06-08;2022-06-08
5;back-end Senior;full-range;2022-06-09;西;w;streamline whiteboard;GB Handmade Jewelery;sc;sc;synthesize;Planner Toys;contingency invoice;withdrawal Granite;Games blue synthesiz;utilize;Awesome Handmade;navigating Venezuela;FTP Equatorial depos;GB Leone 街;87101;39220;2022-06-08T13:15:50;2022-06-08T19:28:38;2022-06-09;2022-06-08
6;Liaison Consultant;北路 throughput;2022-06-09;台;B;firewall deliverables;Martin Cedi Sausages;hi;mu;ADP Rubber;Towels experiences n;scale contingency;De-engineered connec;next-generation Redu;distributed XSS withdrawal;福建省 Producer ADP;Bhutanese Peso Buckinghamshire;Frozen dynamic;Sleek Cambridgeshire;32316;80560;2022-06-08T16:29:08;2022-06-08T21:10:43;2022-06-08;2022-06-08
7;application leading-e;disintermediate Frozen green;2022-06-09;L;T;福建省 台灣省;open-source Integration Forward;na;Ta;Cambridgeshire Senio;Cedi;multi-tasking;Gorgeous channels;Bedfordshire Savings;programming secured Belarus;synthesize magnetic;transmit Interactions;out-of-the-box orchi;impactful multi-task;68868;27260;2022-06-08T08:11:10;2022-06-08T09:50:20;2022-06-08;2022-06-08
8;Small alarm;synergies purple;2022-06-09;S;C;Soap cyan;strategize Chair Creative;Fa;Ac;payment 台灣省 payment;invoice Profound SMS;bottom-line Peso mag;Mongolia;Strategist;envisioneer;compelling 西路;Berkshire input;navigating Cambridge;Diverse;82434;31913;2022-06-09T00:03:29;2022-06-08T14:52:30;2022-06-09;2022-06-08
9;Account;mindshare;2022-06-09;t;S;communities;Towels invoice;Di;台灣;deposit back-end;Future strategize;Global Dollar invoic;Manager override For;matrix Engineer capa;Metrics Bacon Rustic;Steel deposit Account;deposit Fresh;Identity Up-sized wi;Product;54298;86502;2022-06-08T17:20:54;2022-06-08T20:49:07;2022-06-08;2022-06-08
10;Gloves;Account initiative;2022-06-08;A;e;customized;Dynamic;fe;dy;Bacon Granite;Gorgeous;Granite Organic;Granite exuding;Liaison transmitting;back-end;local open-source;Berkshire;up 北路 東路;Brunei;67860;72537;2022-06-09T03:48:57;2022-06-08T11:20:15;2022-06-08;2022-06-08
