id;wkut;prjno;sdate;fr_wkr;fr_wkred;fr_type;fr_pno;fr_rmk;fr_rate;fr_knd_1;fr_knd_2;fr_knd_3;conf_out;create_date;create_user;update_date;update_user;u_ip;columni
1;Plastic Analyst;success Liaison;2022-06-23;58695;66674;A;Music synthesizing Fantastic;Avon;6106;Re;in;go;21881;2022-06-22T16:39:36;matrix;2022-06-23T02:39:15;Account client-serve;application Chicken 西路;Direct
2;RAM leverage Administ;Gorgeous panel;2022-06-23;31187;68044;e;Money;deposit;77617;wi;in;fo;40660;2022-06-22T11:45:31;purple 南路 Awesome;2022-06-23T07:52:26;wireless interface;productivity Bedfordshire Licensed;Grocery Mouse
3;Cheese;teal Movies;2022-06-23;10719;56261;C;Intelligent Avon Producer;Realigned Associate;15498;de;街;e-;2162;2022-06-23T00:23:06;compressing Intranet;2022-06-23T00:12:38;mindshare Future-pro;Cotton Avon;Dollar Operations
4;西路 Re-contextualized;up architecture;2022-06-22;43062;41465;l;compressing;Cotton;3861;In;sy;in;29127;2022-06-23T06:19:57;Fantastic PNG Implem;2022-06-23T00:23:02;Heard;District matrix District;lime Buckinghamshire
5;capacitor Unbranded;magenta methodologies;2022-06-22;92040;90423;福;台灣省 streamline;Usability;46342;ne;Sl;In;48464;2022-06-22T10:39:21;metrics Concrete XSS;2022-06-22T22:21:29;Auto Ergonomic;Tools 福建省;Bedfordshire invoice
6;mindshare;transmitting Beauty;2022-06-22;26902;62346;I;Implemented Ergonomic Montserrat;Granite Grocery;87738;mo;Cl;St;73198;2022-06-22T23:32:59;deposit;2022-06-22T14:18:26;東路 system;redundant Refined;福建省 Botswana paralle
7;福建省;Creative programming Sports;2022-06-23;72207;85912;m;wireless District;Tactics e-tailers relationships;14708;co;ki;Lo;58310;2022-06-22T11:18:43;seize impactful 街;2022-06-22T18:23:26;wireless;Consultant deposit;Assistant
8;Licensed parse Accoun;Kids 北路;2022-06-23;26411;81656;H;Coordinator programming;南路 Wooden;94642;Pr;Qu;Ne;65999;2022-06-22T13:45:28;white;2022-06-22T12:01:52;路 flexibility;Legacy Digitized Micronesia;efficient
9;Intranet Incredible;workforce Islands;2022-06-22;45468;35321;i;路 Taiwan Cheese;Sausages 台灣省;16906;Do;ha;ov;5283;2022-06-22T11:32:15;Research XML Jeweler;2022-06-23T06:58:51;Ecuador;Wooden;福建省
10;streamline;users Industrial;2022-06-23;82982;68664;m;福建省 Cotton;red;8869;ba;in;Tu;62881;2022-06-22T15:33:27;Account;2022-06-22T16:08:20;Buckinghamshire Rust;mobile Data transmitting;Credit 街
