id;wkut;prjno;sub_ccut;e_code;e_cnt;e_remark;create_date;create_user;update_date;update_user;conf_a;conf_b;u_ip
1;Handmade;Pound input;XSS users web;Franc;Loan Generic;bricks-and-clicks bandwidth;2022-07-24T06:30:21;RSS Coordinator;2022-07-25T02:08:55;generate azure Turke;E;A;Rustic Granite Albania
2;approach Steel compre;Buckinghamshire online Forward;Developer withdrawal;alarm;Buckinghamshire invo;grey microchip bypass;2022-07-24T23:40:49;Borders Handcrafted ;2022-07-24T11:20:18;SDD Latvia;d;N;proactive Synergistic
3;green up;workforce 北路;Belize;syner;Wallis ivory RAM;quantify Electronics revolutionize;2022-07-24T04:53:54;6th connect;2022-07-24T22:42:36;SMTP;I;d;salmon
4;RSS;generate Republic;magenta payment;index;Technician;Macao evolve;2022-07-25T00:00:39;unleash calculating ;2022-07-24T21:36:17;SQL mobile;路;C;Investment methodologies Handmade
5;Product;leverage;西路 福建省;monit;applications;supply-chains;2022-07-24T10:14:53;Loan 北路;2022-07-24T05:27:36;Avon Buckinghamshire;A;t;cross-media 台灣省
6;calculate Ergonomic;uniform 西路 Object-based;algorithm Liaison;台灣省 A;Liaison;Representative 東路;2022-07-24T10:42:49;protocol empower sol;2022-07-24T06:20:09;card Awesome;B;台;Berkshire
7;Ergonomic model;deposit deposit Tasty;Grocery mindshare op;recon;experiences generati;up Pizza purple;2022-07-24T15:23:39;街 PNG Supervisor;2022-07-24T14:13:44;Garden matrices copy;s;A;Supervisor Cambridgeshire web
8;Open-architected;generation;Awesome AI;Marks;PCI Toys Berkshire;Rubber;2022-07-25T02:01:06;Account;2022-07-24T08:27:12;PCI;n;D;human-resource Investor
9;Administrator Towels;bypass azure;Salad back;THX A;Bahamian application;hacking;2022-07-25T01:53:03;deposit;2022-07-24T20:01:55;Engineer back-end mi;p;Q;parse 福建省
10;Infrastructure;Fish deposit 東路;compress;Tools;PCI Outdoors Music;台灣省;2022-07-24T11:01:53;invoice Rubber to;2022-07-24T13:09:22;Pound;g;F;Sports deliverables Plastic
