id;geo_question_id;role_id;question;reply;transfer_date;transfer_form;is_del;del_date;del_acc_id;create_user;create_time;update_user;update_time
1;91996;deposit;SAS Director maroon;solid Fantastic Dynamic;2022-05-11T17:03:22;bandwidth Palladium;Buckinghamshire 東路 Home;2022-05-11T07:22:11;fault-tolerant feed;architectures;2022-05-11T14:39:15;up;2022-05-11T14:20:24
2;45813;primary;Clothing Account 台灣省;Face Clothing;2022-05-11T11:26:11;generate;experiences;2022-05-11T14:00:36;Rubber orange generation;Borders Soft;2022-05-11T13:50:23;Grocery;2022-05-11T14:16:19
3;66732;visualize applications Car;Tanzania Home purple;Gloves 福建省;2022-05-11T06:38:23;Fresh Total;Buckinghamshire;2022-05-11T17:16:50;innovate;HTTP olive;2022-05-12T01:17:21;withdrawal transmitter Tactics;2022-05-11T06:24:08
4;61337;Pizza;transition solutions;Swiss 西路;2022-05-11T21:32:25;Money;moderator 南路 Administrator;2022-05-11T12:27:00;Branding payment;turn-key Account navigating;2022-05-11T22:53:47;Refined COM;2022-05-11T14:19:13
5;7137;microchip Unbranded;XSS;Regional;2022-05-11T07:11:21;interface;Metal;2022-05-11T04:41:07;Human Pants;Nepal expedite;2022-05-11T11:30:27;plum;2022-05-11T09:16:04
6;44105;synthesize Liaison Games;web-enabled HDD Credit;Cotton;2022-05-11T20:50:08;Executive transmitting;Kids ivory;2022-05-11T20:35:24;Rial Loan optimizing;Creative;2022-05-11T18:13:16;Garden;2022-05-11T20:21:46
7;40433;indigo system indexing;Incredible Borders reboot;Tajikistan;2022-05-11T23:12:29;Mouse;Shoes invoice fuchsia;2022-05-11T18:46:00;Lesotho Licensed Corporate;matrix firewall;2022-05-11T15:04:59;Avon azure yellow;2022-05-12T00:28:25
8;94459;open-source Associate;partnerships payment;Licensed dynamic 台灣省;2022-05-11T13:39:00;parsing holistic;Outdoors 福建省 parsing;2022-05-11T17:20:13;Bacon services Organic;1080p Wooden;2022-05-12T00:44:17;open-source;2022-05-11T22:28:43
9;97447;haptic 東路 granular;Licensed attitude-oriented;reboot optical discrete;2022-05-11T07:27:55;南路;東路;2022-05-11T18:58:14;Chips haptic;Steel SMTP ADP;2022-05-11T13:34:06;Cotton;2022-05-12T02:38:58
10;72324;Account static utilize;infomediaries 東路 Japan;synthesizing;2022-05-11T03:40:26;wireless olive Avon;disintermediate Soft e-commerce;2022-05-11T07:30:03;reintermediate e-services 台灣省;Cape;2022-05-11T18:24:49;copying Brand Car;2022-05-11T17:49:39
