id;wkut;prjno;apply_date;milestone_no;milestone_name;milestone_type;milestone_status;estimate_date;actual_date;remark;create_date;create_user;update_date;update_user
1;Belgium;Specialist;2022-07-04;RAM ;HDD feed Berkshire;Re;A;2022-07-04;2022-07-03;Representative calculating Sleek;2022-07-04T03:35:42;pixel;2022-07-03T17:29:27;Wooden Fresh Applica
2;red 福建省 東路;synergies Won 福建省;2022-07-03;Sala;enterprise haptic;Bi;A;2022-07-03;2022-07-04;parsing;2022-07-04T03:43:22;Books connect;2022-07-03T17:19:09;monitor reinvent
3;Branding Comoro;array Director;2022-07-03;Camb;東路 福建省 Direct;Mo;福;2022-07-03;2022-07-03;redundant Credit;2022-07-04T01:18:28;福建省;2022-07-03T07:11:08;Fantastic synthesize
4;transmitter primary;Jewelery;2022-07-04;Camb;neural;in;e;2022-07-04;2022-07-03;lime;2022-07-03T09:27:41;matrix;2022-07-04T01:20:57;Senior Account quant
5;Horizontal Concrete;input Communications action-items;2022-07-03;virt;Awesome Plastic;in;H;2022-07-03;2022-07-03;protocol white Streamlined;2022-07-03T13:19:01;transmitter RSS Plas;2022-07-03T17:50:11;Guarani
6;南路 Rubber Tuna;福建省 Toys;2022-07-03;福建省;red;in;C;2022-07-04;2022-07-03;CFA Toys;2022-07-03T08:03:49;Computer;2022-07-03T19:01:04;reciprocal global Co
7;Market Engineer;array Self-enabling Networked;2022-07-03;auxi;Berkshire enterprise homogeneous;fr;C;2022-07-03;2022-07-03;paradigm sensor black;2022-07-03T23:45:07;invoice Generic;2022-07-04T06:13:13;Business-focused cal
8;initiative deposit;Avon;2022-07-03;copy;Representative;Cu;福;2022-07-03;2022-07-04;Product;2022-07-03T18:59:49;Supervisor interface;2022-07-03T09:07:02;reboot
9;Savings 1080p 街;北路 experiences Money;2022-07-03;Futu;of bandwidth Towels;Pr;R;2022-07-03;2022-07-03;台灣省 Bedfordshire;2022-07-03T23:38:33;Shoes USB;2022-07-03T13:50:03;Clothing
10;Agent Cyprus;Kyat;2022-07-03;onli;system-worthy intangible;Te;B;2022-07-03;2022-07-03;JBOD;2022-07-03T07:39:41;Ukraine;2022-07-03T09:46:08;out-of-the-box Ball 
