code;name;addr;tel;fax;cdty;type;dsts;newcode;name_0;can_01;hot_line;capital;rejsd;rejed;create_date;create_user;update_date;update_user
15796f65-c02a-44b2-bd;invoice Fresh Practical;needs-based;Human Cambridgeshire;Communications conne;Mark;e;g;Baby installation Mobility;utilize 東路;Nevis;Health actuating;32199;Awesome;primary;2022-03-31T07:49:13;Gloves Optimization ;2022-03-31T21:54:29;Peso capacitor
cd85a805-b03d-4fce-a8;Mouse Account;Dynamic;withdrawal;Gorgeous;Conc;b;M;silver;EXE;Cotton a;deposit Rustic Handm;45157;e-enabl;Web;2022-03-31T15:05:58;Operations;2022-03-31T13:36:24;Buckinghamshire
fc5271a1-8f42-43be-8e;Vision-oriented Berkshire;one-to-one purple;USB green;black Liberia;Nige;C;C;Paradigm Automotive dynamic;Baby Assistant;Account;Research Franc Loan;10710;Keyboar;overrid;2022-04-01T05:48:45;hack;2022-03-31T20:09:32;generating overridin
3a03619d-e7ad-45a4-b8;e-markets Trinidad;Dynamic 福建省 Orchestrator;Global;compressing;web-;C;T;RAM Chips multimedia;national Direct;Movies G;Generic;27821;calcula;Wooden ;2022-03-31T13:03:33;back-end Shoes Concr;2022-04-01T04:08:26;福建省
d6dfd8aa-3791-44c7-84;transmitter TCP COM;Chips Fantastic;metrics;Kids experiences;Huma;E;A;Hat;next-generation Gren;Account ;Fantastic Shoes;21292;Central;circuit;2022-04-01T02:10:41;relationships cross-;2022-04-01T01:18:54;azure
6c94b07a-ba44-4c05-aa;Account;Senior 北路 index;dynamic Cambridgeshi;Legacy Gourde;Fran;J;H;Baby Dinar Turks;Realigned protocol P;bleeding;card Car;28651;invoice;Chair;2022-03-31T20:26:45;ADP Architect mobile;2022-03-31T09:30:19;online full-range
08255aae-10d6-4b8a-93;Executive Ergonomic metrics;Customer-focused;Tools protocol;Fuerte Table Saint;Lega;P;E;TCP violet;hack online invoice;sensor w;software;3315;innovat;Jamaica;2022-03-31T13:07:15;Metal Malaysian expl;2022-03-31T10:45:28;Account
a1793340-38a1-4440-8e;Australia Ergonomic Lesotho;optimal Account;Avon;Africa Applications ;Bord;p;南;Balanced;Developer even-keele;platform;Bedfordshire License;16479;multi-b;Jeweler;2022-03-31T08:54:51;Refined Pound;2022-03-31T08:11:54;optical
54f17e49-d7e0-4381-94;Chips Pizza Refined;parse;benchmark;Generic Manager Appl;USB;台;C;福建省 Movies;Lek;Savings ;台灣省 北路 reinvent;19017;online ;Enginee;2022-03-31T10:08:09;Keyboard Granite dep;2022-03-31T23:09:04;Tasty Customer-focus
3c3b3462-167d-4df1-b1;Applications;Implemented;markets;Plastic;Camb;t;福;Account Cloned card;Integration Ergonomi;compress;visionary transmit;60982;Human;Persona;2022-03-31T20:41:11;Paradigm;2022-03-31T22:32:22;路
