id;wkut;prjno;yr;mnth;syr;item;ptrate;pexp;rate;ypexp;yaexp;arat;aexp;atrate;remark;sumt;stus;mdsts;sumdat;nopayamt;nopayresn;resumt;trdt;nopaydetel;meet_cnt;meter_chk;meter_chk_f;work_chk;work_chk_f;repl_meth;teckind_3;envi_cnt;envi_fee;wsafe_cnt;wsafe_fee;sorc_1;sorc_1_b;sorc_1_c;sorc_1_d;sorc_2;sorc_3;sorc_4;sorc_5;spcw_01;spcw_02;spcw_03;spcw_04;spcw_05;spcw_06;spcw_07;spcw_08;spcw_09;spcw_10;spcw_11;spcw_12;equp_01;equp_02;equp_03;equp_04;equp_05;equp_06;equp_07;equp_08;equp_09;equp_10;equp_11;cosend;a_trate;wdayeds;sorc_3_b;sorc_3_c;sorc_3_d;sorc_3_e;sorc_3_a;sorc_6;sorc_3_b_2;sorc_3_b_3;sorc_3_b_4;sorc_3_b_5;sorc_3_c_1;sorc_3_d_1;sorc_3_d_3;sorc_3_d_4;teckind_4;sorc_7;sorc_7_use;sorc_7_oth;sorc_7_tac;sorc_7_self;sorc_8;pay_arr;sorc_7_use_2;sorc_7_use_3;sfr_wkr;sorc_9;dsts;conf_out;conf_out_2;create_date;create_user;update_date;update_user
1;recontextualize payme;福建省;car;街 ;Bed;override Lead;81513;36054;75022;59805;78354;58595;79722;30374;Krona Pants Accountability;66667;Ob;G;extend;54343;St;7662;archive;Innovative;27936;66532;7083;33862;72520;pl;69238;97429;60444;79946;16477;20924;11135;80019;44937;25477;65606;78498;72422;F;T;v;Q;V;n;S;m;g;台;p;福;o;i;C;A;s;S;L;p;n;r;t;87738;46269;35899;11366;51516;95064;36623;72895;92598;95628;53570;40781;77467;28457;43317;75930;58607;76245;68947;94989;37230;39021;42148;67731;M;7766;65625;33103;42072;A;663;4280;2022-04-19T11:55:18;Switchable strategic;2022-04-19T09:15:39;Licensed payment Out
2;Small Games;deposit deliver;Dyn;Li;hac;firmware generating;38533;97705;51053;484;11592;90219;36972;576;Chief firewall;34219;le;o;Adminis;98608;Pr;632;Clothin;Peso Bedfordshire Bedfordshire;73750;36474;74161;7513;99575;PC;68427;88661;41279;83171;86372;72133;36097;62431;70958;31949;50225;81496;61358;A;G;街;O;B;v;C;C;c;T;G;R;C;s;D;A;a;h;o;福;D;p;B;9057;59197;79144;80359;57600;51505;75357;50983;96486;66031;27115;14656;69688;84413;92289;14109;87809;29492;1750;23653;97051;88921;7096;33187;a;79074;40743;91617;63232;A;29143;86590;2022-04-19T04:21:06;Hryvnia cross-platfo;2022-04-19T13:36:56;Metal orchid input
3;teal matrices;leading Jordanian;str;tr;南路;connecting;63676;30351;98000;31564;89221;72271;61584;55852;南路;88443;Pa;O;Soap IB;63820;Li;47839;Unbrand;impactful generate;61084;57896;92661;64037;40024;So;46290;44893;95110;16316;20277;5136;1675;58848;57707;77576;68091;44331;66927;n;F;b;s;G;D;S;C;U;F;D;a;S;M;i;A;s;p;D;H;C;M;東;5875;92613;53515;2152;70636;71566;4073;70434;63951;87303;50407;26707;27930;61533;14596;27220;65826;47537;35701;47061;62429;50982;88591;83741;K;65597;7542;74203;69753;P;65371;68870;2022-04-19T11:28:33;Loan Buckinghamshire;2022-04-19T10:52:34;Baby
4;Quetzal;Account;Guy;Ta;Exe;proactive SDD Monaco;27037;29551;31750;28915;37992;35768;77867;29732;Account;51864;Na;B;directi;77881;em;16712;Represe;Central;9441;49170;32056;34902;61897;Ac;79260;60550;17485;96461;77343;67969;21123;55495;73991;23351;58566;7849;86145;T;D;p;B;G;G;N;m;p;L;a;p;d;s;P;b;C;N;F;A;D;K;B;13978;10056;47581;68109;8272;44174;37423;28945;53112;76631;34720;38985;35060;77952;19845;55409;44633;32477;3666;98953;50447;32688;61172;99061;m;12561;13682;31665;54263;y;61742;67942;2022-04-19T20:44:30;transmitting through;2022-04-19T18:21:18;paradigms
5;invoice invoice optic;yellow directional C;Zam;Op;opt;Corporate;56215;8944;88481;11342;98041;79900;66494;44675;Chips Fresh;16023;Co;r;Shoes f;39201;In;41291;repurpo;北路 withdrawal Card;82765;7112;84341;49071;77654;na;28183;74014;44930;58882;22110;74016;71705;76578;30224;51977;81295;10708;81673;F;B;u;s;G;v;S;g;U;I;T;E;p;R;M;c;d;A;A;T;M;A;G;58129;15303;85741;62224;9413;52852;16505;53990;36309;2616;51559;24910;99945;80485;54964;94485;72425;72612;30724;82676;11010;6566;23375;46288;b;48214;37219;62583;39443;p;31452;9838;2022-04-19T09:21:25;Industrial Generic h;2022-04-19T10:49:28;hack
6;redefine JBOD Account;東路 cohesive 台灣省;TCP;Of;Bhu;copy dynamic;46338;15568;30520;11088;45912;12770;19219;30739;Triple-buffered;78678;Ne;t;Investm;72521;e-;17940;through;Orchestrator info-mediaries capacitor;68379;89622;31666;10527;27034;ma;52820;45172;76560;26148;12559;99105;42612;58667;28690;18663;92918;97208;95256;北;l;i;i;i;A;C;w;C;S;台;B;S;b;I;C;P;o;q;w;C;c;A;37103;25266;60658;77356;68500;60000;91887;37982;33299;69054;60567;9160;48943;30111;6550;88523;30804;39850;17221;59445;96634;30520;81541;84131;C;92989;36011;10445;94211;A;54050;73570;2022-04-19T23:28:36;Identity Mandatory;2022-04-19T15:46:36;Ball
7;Personal Ball deposit;mesh Director;inv;Co;台灣省;portals Legacy Human;25372;94118;88592;14881;4582;71762;40229;14384;Polynesia Metrics District;84097;Ke;I;deposit;81618;po;9543;grow Op;hacking 福建省 array;8757;30706;17608;10929;72521;Na;72317;60590;86660;28509;35895;99984;91423;82948;96790;71133;97141;55931;29653;p;M;m;d;p;R;q;C;g;C;C;P;路;A;街;D;台;s;O;R;C;B;u;32184;41491;98660;24404;69154;51599;89940;36389;20938;15529;42342;39755;3672;47627;20584;60824;50761;69222;24316;31859;44590;60870;2511;69170;n;54758;81879;80521;67694;S;99444;405;2022-04-19T17:36:28;user-centric parse;2022-04-19T10:05:02;Bedfordshire bypass 
8;路 Creative Principal;online Frozen Saving;dri;ch;GB ;Central Tasty Response;58300;58863;51283;20309;27404;98392;82462;17035;e-business;23725;Sm;A;compres;80432;ca;31333;bandwid;Handmade Avon navigating;24316;95406;9525;21918;31262;pa;59219;72383;12887;84236;95152;28104;54479;22844;24414;39251;99141;9194;15773;O;m;B;h;S;O;P;C;D;D;h;u;G;I;s;U;L;福;s;c;A;i;K;65345;80390;76350;80573;4089;29558;32132;13295;24319;48250;13279;39077;74822;75055;3894;1506;46101;12957;39558;75018;64507;91856;56641;75416;F;14877;63458;88901;78909;台;95276;18477;2022-04-19T14:14:05;policy Berkshire;2022-04-19T10:24:49;Rufiyaa Incredible
9;Cotton Director;TCP;Woo;Sa;inp;Cuba;42676;88302;22776;66277;26134;23841;49459;76993;Bedfordshire Liechtenstein deposit;23565;Mo;B;mindsha;32921;po;2038;attitud;violet primary Designer;57187;35163;70831;75278;365;In;20215;47790;14246;90227;63924;97926;86055;80148;71453;98236;27517;72651;48977;S;p;p;p;街;f;h;南;o;A;e;C;北;F;s;T;台;W;A;p;A;d;C;84271;18915;88246;48261;54609;16349;22617;79559;2448;453;62812;25727;39851;11813;18261;35561;17457;23885;57595;80023;80232;67715;66846;83538;R;21149;39737;73741;79222;台;92270;68742;2022-04-19T08:10:34;improvement;2022-04-19T19:54:36;Peso
10;communities;flexibility;rei;In;Tas;Specialist transmit;51777;58811;78270;34552;57484;51660;2404;97714;Barbados Web redundant;30899;ho;a;Senior;39554;北路;6602;infomed;SSL Branding Som;27371;67531;87111;46905;31698;ci;26622;84541;95693;86541;87198;36688;88781;74410;13437;42628;76682;30475;22126;M;c;M;r;2;S;i;r;C;c;路;S;F;a;M;a;H;v;D;T;S;C;a;11014;67603;88262;20107;64350;18946;67461;62421;54285;60726;63236;46221;41501;63639;10673;32447;39307;24498;59355;73584;35738;81290;74297;58731;街;78554;96877;71974;29743;p;58263;57805;2022-04-19T08:19:19;deposit Administrato;2022-04-19T22:10:44;sticky Internal
