id;wkut;prjno;check_date;check_date_end;check_unit;check_subunit;checker_1;check_leader;check_member;data_status;method;check_purp;checker_tel;can;column_1;create_date;create_user;update_date;update_user
1;systems Grocery;transform Awesome;2022-06-29;2022-06-28;concept methodologies;ma;Customer calculate;Networked Facilitator;ROI partnerships;y;M;Practical 福建省;migration;T;leverage Coordinator;2022-06-28T18:00:59;Keyboard;2022-06-28T19:25:12;dynamic Montenegro
2;reboot quantifying;multi-state;2022-06-28;2022-06-28;redundant microchip;HD;Cambridgeshire Internal;Rubber Card;PNG navigating payment;D;m;mobile virtual;福建省 Administrator;S;virtual microchip st;2022-06-28T20:57:12;radical Re-contextua;2022-06-29T07:16:58;Small content-based 
3;台灣省;Paradigm Gloves;2022-06-28;2022-06-28;Planner;ma;scalable monitor;e-business 南路;Factors;s;B;regional Cambridgeshire;Games Gloves Borders;I;multi-byte withdrawa;2022-06-29T07:11:53;Senior Metal Optimiz;2022-06-29T03:02:30;hack Jewelery
4;generating Account Do;system;2022-06-28;2022-06-28;transmitting Buckingh;au;cross-platform Keyboard;Customer;bandwidth-monitored Rustic;n;C;withdrawal Account;black Implemented Gr;p;moratorium HTTP mode;2022-06-28T17:48:41;multimedia;2022-06-28T21:15:30;福建省 application Lice
5;福建省 Bike;Usability encryption Avon;2022-06-28;2022-06-29;北路 Granite;st;Generic Incredible;up 福建省;schemas bleeding-edge;t;I;Colon 台灣省 Ergonomic;AI Micronesia olive;P;red;2022-06-29T03:44:53;Accountability hacki;2022-06-29T06:39:07;Buckinghamshire
6;firewall;SDD 1080p;2022-06-28;2022-06-29;Clothing indexing ubi;se;Books;azure Granite Director;Computer;I;m;monitor CSS;Pre-emptive Plastic ;台;Internal recontextua;2022-06-28T13:25:54;西路 connect;2022-06-29T07:12:47;workforce
7;digital;JBOD Rubber Front-line;2022-06-29;2022-06-28;Buckinghamshire AGP p;in;mobile;Cambridgeshire Integration archive;haptic;e;Z;copy;Analyst Automotive S;i;Avon 福建省;2022-06-28T22:39:33;Ukraine;2022-06-28T17:43:25;De-engineered
8;Metal secondary;eyeballs Account array;2022-06-29;2022-06-28;orchestrate French In;Co;Bike Fish mission-critical;value-added;Factors partnerships;c;s;interface Granite;Cambridgeshire Lari ;w;brand Gold;2022-06-28T13:37:16;scale;2022-06-29T03:22:18;Danish reboot
9;Platinum;white;2022-06-28;2022-06-29;impactful Chicken;so;路;Real;navigating paradigms Practical;T;路;Barbados JSON;RAM 福建省;H;台灣省 Re-contextualize;2022-06-28T15:56:32;Quality-focused Awes;2022-06-29T05:01:13;policy online Swiss
10;Profit-focused;state;2022-06-29;2022-06-28;virtual;Na;Cambridgeshire;Global withdrawal Berkshire;optical Wooden Gloves;S;e;Account Principal;concept;r;connect;2022-06-29T01:33:46;Pa'anga Creative oli;2022-06-28T19:34:58;Automotive disinterm
