id;wkut;prjno;syr;month;person_01;person_02;worker_01;worker_02;worker_03;worker_04;worker_05;worker_06;worker_07;worker_08;worker_09;worker_10;worker_11;worker_12;person_a_01;person_a_02;worker_a_01;worker_a_02;worker_a_03;worker_a_04;worker_a_05;worker_a_06;worker_a_07;worker_a_08;worker_a_09;worker_a_10;worker_a_11;worker_a_12;person_b_01;person_b_02;worker_b_01;worker_b_02;worker_b_03;worker_b_04;worker_b_05;worker_b_06;worker_b_07;worker_b_08;worker_b_09;worker_b_10;worker_b_11;worker_b_12;person_c_01;person_c_02;worker_c_01;worker_c_02;worker_c_03;worker_c_04;worker_c_05;worker_c_06;worker_c_07;worker_c_08;worker_c_09;worker_c_10;worker_c_11;worker_c_12;person_01_salary;person_02_salary;worker_01_salary;worker_02_salary;worker_03_salary;worker_04_salary;worker_05_salary;worker_06_salary;worker_07_salary;worker_08_salary;worker_09_salary;worker_10_salary;worker_11_salary;worker_12_salary;aperson_01;aperson_02;aworker_01;aworker_02;aworker_03;aworker_04;aworker_05;aworker_06;aworker_07;aworker_08;aworker_09;aworker_10;aworker_11;aworker_12;ajobtype_01;ajobtype_02;ajobtype_03;ajobtype_04;ajobtype_05;ajobtype_06;ajobtype_07;ajobtype_08;ajobtype_09;ajobtype_10;ajobtype_11;ajobtype_12;ajobtype_13;ajobtype_14;create_date;create_user;update_date;update_user;conf_out;conf_in;u_ip;worker_13;worker_14;worker_15;worker_16;worker_a_13;worker_a_14;worker_a_15;worker_a_16;worker_b_13;worker_b_14;worker_b_15;worker_b_16;worker_c_13;worker_c_14;worker_c_15;worker_c_16;aworker_13;aworker_14;aworker_15;aworker_16
1;seamless;Cotton Handmade Awesome;福建省;de;23667;82480;65243;12047;6256;12952;56133;85614;67651;5607;9919;72831;39208;96767;46116;7427;54255;29382;17032;16265;45081;54605;24845;22015;59114;21028;75937;86440;94429;68393;55348;29737;97917;6017;72796;38432;66758;30140;94410;56919;79946;73581;63382;84537;4820;99651;18775;33527;16708;93651;54800;77925;64382;98379;47008;51270;59461;29342;46655;80674;91354;21130;86698;19278;59894;49884;19069;41752;64638;75447;49758;8648;52767;66491;49324;3423;59025;83873;46804;24457;99100;38284;57256;64866;55364;42369;87832;24805;17914;94662;48252;23551;3667;9253;10395;79946;20819;27606;2022-07-17T17:01:54;Shoes;2022-07-17T09:30:35;generate Strategist ;48223;82271;Home lavender;65930;87353;70316;555;20026;27313;97566;1440;56097;59430;67942;99430;98866;66368;91587;73473;3563;32064;15354;63680
2;Small Planner;福建省 台灣省;min;Ha;99309;53093;51621;82862;66251;56843;21273;83598;31416;22995;3531;57865;85406;26419;33629;56665;29927;61103;47202;76080;72167;52219;48289;51496;30330;54322;41403;66656;83980;40000;23709;88597;42187;42072;86545;23161;14777;41600;26242;71087;63307;89852;52601;11453;96708;53115;52254;70141;535;42158;14493;68355;97366;19032;81618;18073;77502;87836;89147;25545;31703;15893;53216;65639;74958;95732;1694;20482;47883;16953;49057;77597;97841;51590;40525;45633;18848;34529;5806;20913;69299;87887;70147;49789;60097;1362;21152;17433;51471;37668;99556;61549;82709;28569;80097;59910;43155;43752;2022-07-17T15:50:41;西路 specifically;2022-07-17T14:26:39;open-source connect;64592;34955;Synchronised whiteboard;16736;66145;60086;90899;72825;34034;46431;376;3872;74008;21858;40893;11373;53289;9175;61543;86318;26303;6691;42185
3;Books 東路 lavender;User-friendly Outdoors;cro;sy;70952;37687;7341;87919;57711;9636;15036;43472;68399;73691;20553;33148;71960;2758;7102;10940;238;15191;61135;5036;5067;71015;15989;10900;62500;62294;64699;23107;84969;72466;22422;31849;22846;44500;28121;15722;75786;61683;15878;18997;16116;82242;75120;69532;71547;42505;34736;81072;39225;17334;54080;82962;79858;10602;56272;90591;20966;10194;93979;34262;86370;87403;69719;2558;97972;85228;23340;11629;30627;67507;12067;3756;87089;99945;34555;61119;3249;12521;79815;30842;86837;82769;66782;58960;76850;3069;24364;42312;26788;60448;53263;52060;44319;95409;70488;16284;87236;72980;2022-07-17T11:56:16;福建省;2022-07-17T08:24:29;Australian neural;68363;92192;Gibraltar;44827;64048;20138;97680;21348;76720;98284;69131;45712;93333;14900;43165;55241;47532;75106;72440;64272;88497;620;90372
4;e-markets Fresh click;architect 台灣省;ora;Pi;69087;37361;41044;41962;28978;57821;51172;45692;86535;8155;47474;84524;9453;94497;50860;6020;65863;88885;97328;40884;37180;96401;26324;94187;88976;4525;94949;43475;71368;99847;94020;43466;91741;95286;62318;38354;57857;73957;82798;85354;24980;87713;14273;62976;97956;52649;22655;90113;65909;13779;19762;56525;81414;93619;92140;87267;59683;26830;45738;36783;92207;56826;83391;37353;73326;71443;94171;65860;33158;86405;7186;17114;71683;88236;188;81072;75189;37803;50761;49307;56657;5026;81781;51011;52625;73346;45687;45895;14455;36843;81982;96142;81645;77847;11550;88478;92915;44350;2022-07-17T01:45:37;reboot;2022-07-17T18:29:40;up magenta e-markets;54679;31527;Cotton Colombian Tools;66852;20429;57064;72085;60020;64252;322;8223;32391;90470;54224;64222;23100;56158;61892;34851;58474;42924;59918;99154
5;Accountability;up SCSI Lead;yel;So;10687;97068;12907;4194;93917;25554;77944;71378;80519;18572;82444;64884;62045;97838;56506;98324;59645;39046;89379;35427;75715;98482;35808;66577;438;77630;1597;88815;28744;22532;22152;85418;97734;49236;69256;10827;87743;5202;53434;65979;56834;39581;70496;65308;55581;16548;63581;9500;24584;74298;14584;8128;62797;63622;29348;2736;83973;79276;7893;48284;52099;57834;82610;782;12247;59688;75772;8627;19700;8679;12535;90283;49414;73459;50555;79524;41902;36951;82240;8498;99721;73703;2168;86156;98290;80508;89207;18283;49814;97886;23551;14016;94511;41805;55067;82595;16606;96103;2022-07-17T12:11:20;protocol Suriname gr;2022-07-17T01:45:03;Games;10089;95285;Pizza Program Computer;23039;15077;38534;72473;40301;30567;64651;37773;45799;69249;13767;97072;79809;99015;49058;82131;98604;85997;57789;55013
6;fault-tolerant;Beauty;Coo;台灣;77922;52295;47297;32217;83481;32636;29092;3105;64115;83224;81319;39069;66116;801;94078;32480;79458;32633;64788;46042;98948;23732;52352;85736;13890;19766;1339;32245;23398;3561;66087;3647;71397;91294;47563;39925;59712;38162;23875;5200;72767;91752;13798;86982;62787;27540;8433;77449;15083;18512;83251;71897;10701;69631;46475;60528;33231;9515;59639;90336;67765;44516;96144;63943;22992;9757;49072;66849;69483;82806;34641;18492;9031;9085;51904;52333;40527;44876;88918;70678;99458;62386;77124;79988;85475;27134;89689;2488;13164;25339;75388;54014;10101;13791;19230;60418;65985;475;2022-07-17T09:47:27;compress compressing;2022-07-17T06:26:39;Wooden tangible;92967;93168;methodologies;39432;81438;64529;92679;19805;78527;57117;45499;80337;38146;11165;29612;8608;22689;42800;3983;7943;55135;51824;4954
7;sticky Account Berksh;back-end Corporate feed;Fro;cr;42851;5226;47486;16110;76040;18679;37482;94923;54918;66610;54940;22275;94017;45088;50915;16124;44972;10948;63194;44755;51485;53004;74559;23034;78669;68985;69958;83767;89866;41802;73667;61294;45651;44904;88257;1833;21899;16021;43821;79008;1521;85267;66359;13435;7116;68466;57425;73494;55273;76724;64266;9073;96804;40787;29912;62194;44524;57902;97935;49670;77008;53086;65900;50148;42755;94105;20390;61530;55905;97517;58869;71893;59552;81149;48890;72779;35420;83697;6144;60801;99318;55497;14792;26732;98656;90847;45201;71765;99145;76020;93803;11940;97901;37639;48962;79230;61614;52407;2022-07-17T07:44:22;challenge Health;2022-07-17T21:17:11;Buckinghamshire;8542;69380;Bhutanese;60568;25725;68838;40747;49586;75709;2725;61194;70616;7316;800;97071;72621;1128;27352;88916;25087;95763;91811;82872
8;福建省;Human;str;mo;65158;22540;75299;30215;89557;7094;54868;23098;79364;45331;57130;45948;45094;82979;42824;82347;2602;87604;64417;79648;58556;99838;5255;71601;94094;1375;39974;53506;51339;1723;87041;25808;77427;74018;17839;19672;63941;18017;74962;71066;73465;83235;3384;51876;42740;1626;54994;8409;31035;65077;46469;6289;2421;20350;96352;75242;24510;87717;60060;25246;9644;55485;7130;32865;76082;38909;87201;45633;36688;17479;74800;1984;74065;41545;37461;25141;85798;43791;22828;23227;27545;45184;80097;59847;11831;34934;7474;14920;99997;65434;76917;34299;5411;7835;22939;3786;45289;33936;2022-07-17T06:06:13;Rubber Accounts;2022-07-17T09:45:10;International algori;59600;37914;withdrawal PNG;84258;91173;87639;12853;2373;21971;83550;17508;23219;71057;64603;80116;36775;22125;12481;19577;93351;34252;87987;5668
9;purple;RAM;ext;Fa;24706;68771;80898;51432;97728;85944;21812;20748;14105;46774;22615;5846;60858;40204;55028;67308;19121;52407;33417;41378;60030;59830;97082;40140;40769;51727;3630;26954;6719;98663;84373;16017;40187;84974;84405;63776;88915;43642;9015;96052;88397;97153;50859;32724;18262;38066;91099;30387;50546;8217;43126;86633;46929;43963;14037;59550;85041;31786;2772;95259;94891;15342;43362;45142;85568;15340;18174;90607;65524;35701;80619;22127;11878;54860;48218;99294;37974;96121;61168;76857;69270;21155;40109;95905;69588;17204;3345;96048;98784;62263;11616;18468;80699;12092;67379;12461;20441;5325;2022-07-17T07:08:41;productivity Berkshi;2022-07-17T09:16:34;Directives bandwidth;8980;45743;leverage;59692;47427;70625;87391;89047;16810;88741;44259;76026;42237;8673;98111;28334;88192;20120;58436;9039;87731;79918;82258
10;application;connect hub salmon;Gab;co;77529;4724;54388;31518;34185;88026;80448;30122;75286;79403;19729;21432;66726;7910;67490;47226;53392;77614;51095;64095;9900;21021;79034;20971;56608;71602;98213;65931;82643;49332;70431;31747;18717;92480;13168;93217;79691;9225;76564;49329;34495;91575;88983;24015;57354;28312;1655;7756;75383;97082;34750;73467;15153;35267;69885;30138;78779;2627;68330;34559;72889;46891;12877;18910;75987;73076;48814;91816;4026;42645;51191;2291;43189;1434;64420;22026;54190;18848;1448;77031;55872;30691;83803;74200;25910;60204;96636;14311;99889;84748;69894;12334;97548;28916;17926;12822;72518;56510;2022-07-17T12:38:35;magnetic open Fantas;2022-07-17T22:37:31;Clothing Chair;97311;55860;北路 bypassing;5818;29337;61484;15248;5823;1056;24419;47092;42862;19685;73494;91116;91996;64755;51273;45835;84692;91124;75155;82915
