id;wkut;prjno;stop_date;contract_type;prm_no;stop_reson;blong;stop_remark;contract_item;is_redo;redo_date;redo_prjno;no_redo_reson;create_date;create_user;update_date;update_user
1;testing Account Home;impactful;2022-07-24;m;mobile even-keeled Agent;Ac;M;街 infomediaries;Response Assurance;i;2022-07-24;multi-state;plug-and-play 路;2022-07-24T23:02:33;intangible 福建省;2022-07-25T02:29:49;Plastic Angola
2;Pants generating;Avon Steel JSON;2022-07-25;A;Bike;AG;B;Fantastic Configuration Refined;architect transmitting Refined;H;2022-07-24;Frozen;Island parse;2022-07-25T04:41:47;Cheese Dollar Commun;2022-07-24T13:12:17;indexing Outdoors
3;transparent Incredibl;pricing back-end;2022-07-24;g;Rustic Mouse 西路;We;D;collaborative;Bedfordshire Lek;I;2022-07-24;invoice Granite architectures;Bedfordshire SQL client-server;2022-07-24T17:52:12;back monitor olive;2022-07-24T23:30:01;Account bluetooth pa
4;infomediaries Shillin;Steel Cotton Refined;2022-07-25;m;Grocery Handcrafted input;pa;e;Mozambique 台灣省 synthesize;Metal;A;2022-07-24;navigate Plastic;of;2022-07-24T18:35:36;Interactions;2022-07-25T00:23:05;Ergonomic
5;protocol Dalasi;Customer;2022-07-24;m;user technologies;In;U;COM;Coordinator;西;2022-07-24;Clothing Buckinghamshire CSS;interface THX;2022-07-25T05:03:21;bleeding-edge ivory;2022-07-25T01:06:40;virtual
6;pricing;black grey real-time;2022-07-24;n;Netherlands disintermediate Checking;Sa;i;Money payment;路;M;2022-07-25;Ergonomic next-generation Dollar;Guernsey functionalities;2022-07-24T08:29:44;architectures action;2022-07-24T20:37:29;e-commerce info-medi
7;e-services Movies Pak;Savings network;2022-07-25;y;Chips Personal;Bu;s;Multi-channelled mesh;福建省 Rubber Mouse;e;2022-07-24;orange;Bike;2022-07-24T12:50:06;Mayotte;2022-07-24T20:12:40;Security
8;Supervisor Grocery In;Wooden static Reduced;2022-07-24;R;navigating;Cu;P;Global;productize Personal Berkshire;W;2022-07-24;Greece override;Computers 北路;2022-07-24T15:40:28;Bike 南路;2022-07-24T16:03:57;Bedfordshire
9;Plastic functionaliti;synthesize;2022-07-25;m;back-end PNG client-server;Ca;O;SSL 台灣省 hacking;Bedfordshire compressing;d;2022-07-25;optical compress repurpose;Bacon Berkshire;2022-07-24T16:45:37;Chair;2022-07-25T05:01:38;Specialist
10;Dynamic Analyst maroo;Sports;2022-07-24;s;monitor B2C;SS;P;福建省 optimizing;eco-centric 南路;福;2022-07-25;Fantastic panel;transition;2022-07-24T18:27:44;deposit;2022-07-25T00:13:27;Gloves input program
