id;wkut;prj_no;dsts;job_type;major;company;site_tel;start_date;end_date;duty;re_entry;create_date;create_user;update_date;update_user;remark;man;tel
45de108a-a;FTP Small Towels;cross-platform;up;D;Movies;teal Configuration Directives;Group actuating;2022-06-21;2022-06-21;d;c;2022-06-20T15:17:34;Handcrafted invoice;2022-06-21T02:57:24;middleware;Paradigm payment cross-platform;Sausages navigating;Rubber Towels Bacon
889623cd-a;back-end Reverse-engi;路 Assurance;In;G;Lesotho Generic;GB;Sports drive Sleek;2022-06-20;2022-06-20;S;d;2022-06-20T17:37:43;static connecting;2022-06-21T06:26:39;Account multi-state;Somalia 南路 web-enabled;networks;redundant innovate 福建省
03431ce4-5;complexity haptic;Central;Dy;E;JSON;福建省 Architect Account;connect payment orchid;2022-06-20;2022-06-21;F;N;2022-06-21T01:07:02;drive;2022-06-21T02:48:16;Innovative 台灣省 out-o;Sharable;evolve;台灣省 revolutionize Technician
94d87b45-a;hacking Executive vis;payment Ergonomic;Pr;C;Account Table;circuit;Car base;2022-06-20;2022-06-21;南;J;2022-06-20T09:24:49;frame Concrete itera;2022-06-20T19:57:43;Internal 北路;models Movies Pizza;Market 路 Cotton;Checking
d729f3b6-a;Global;Plastic;de;U;revolutionize;Steel;whiteboard;2022-06-20;2022-06-20;t;i;2022-06-20T08:22:28;HDD;2022-06-20T10:31:40;Licensed;Refined Berkshire AI;Bermuda Incredible o;Dollar Buckinghamshire
4329f2d5-d;wireless SMTP Integra;Sleek Hat;Mo;1;RSS;Designer Developer Cook;gold COM;2022-06-20;2022-06-21;C;M;2022-06-20T16:31:16;Rubber action-items;2022-06-20T08:13:26;India Refined;withdrawal;北路 deposit data-ware;Persevering Consultant
b60e20c5-7;Baby payment Coordina;PCI overriding;co;C;copying concept Dyna;scale Infrastructure application;cyan;2022-06-20;2022-06-20;o;C;2022-06-20T18:58:12;Buckinghamshire meth;2022-06-20T15:43:45;Wooden Identity Inte;路 Lead Engineer;Berkshire Technician;expedite Chief Home
841981c3-f;haptic Handcrafted;Architect ubiquitous;pa;p;override;Security;redefine Generic;2022-06-21;2022-06-20;L;M;2022-06-21T04:30:39;alarm Regional 福建省;2022-06-20T22:49:28;Steel Account Table;capacitor Engineer;withdrawal;Brand deposit
c8b477d8-6;impactful;feed Plastic Soft;FT;F;Wooden 路 西路;Corporate Product;compressing 福建省;2022-06-20;2022-06-20;P;w;2022-06-20T11:03:45;Steel Franc;2022-06-20T14:58:13;Games Gorgeous back-;Assistant invoice;Optimization strateg;台灣省
73b7d98d-5;Market Fantastic;portals;Op;b;Triple-buffered;Wooden;Developer discrete;2022-06-20;2022-06-20;p;W;2022-06-20T22:25:50;pixel Customer inter;2022-06-21T02:00:06;Granite Dollar intra;Games Planner Metal;Franc;bypass Generic
