id;wkut;prjno;type;seq;dsut;dsct;scut;scct;ccut;crat;ccwk_a;ccwk_b;ccwk_c;create_date;create_user;update_date;update_user
1;next-generation;User-centric;Au;st;Markets;42015;Slovenia 台灣省;4459;Cambridgeshire;24800;R;s;s;2022-06-13T13:59:30;Books;2022-06-14T01:43:32;南路 Cambridgeshire
2;Accountability Nether;Moldovan Investment;Sh;Dy;e-business;46411;International deliver;45396;COM Cambodia encompas;15064;p;T;P;2022-06-14T00:30:10;Accounts enable Lega;2022-06-14T03:10:43;Card
3;Customer Sum;granular;Hu;Tu;Pants deposit Uruguay;52068;withdrawal intermedia;84916;matrix;97034;O;a;m;2022-06-13T05:32:21;Handmade;2022-06-13T05:50:48;deposit
4;Plastic ivory 福建省;台灣省 Account deliver;RO;in;Wooden;48225;Loan deposit;3463;北路 bluetooth Brand;87;M;g;I;2022-06-13T13:57:30;Electronics;2022-06-13T15:23:05;Buckinghamshire
5;lavender Granite;Cotton;Ch;Ca;Mouse;25576;Shoes;21210;Tasty Borders;63365;F;T;C;2022-06-14T01:15:43;Honduras;2022-06-13T13:18:43;Loti 福建省
6;invoice drive;synthesizing;Or;Hr;北路 Licensed Account;13953;西路 Refined;82933;CSS Accountability;48718;D;c;f;2022-06-14T03:38:36;interactive indexing;2022-06-13T16:39:51;Ameliorated Synchron
7;leverage Berkshire AI;福建省;re;Am;Data;98738;Cambridgeshire;84560;Product;95973;c;E;A;2022-06-13T21:21:11;withdrawal;2022-06-14T03:29:18;distributed enable 南
8;Lilangeni;vertical 東路;福建;Ch;neural Senegal Movies;81482;collaborative Ireland;73263;Regional Towels embra;51110;l;w;P;2022-06-13T23:04:17;Producer;2022-06-13T10:52:20;tan Personal program
9;Cambridgeshire;SMTP Architect Global;in;ni;Investment;12707;Coordinator;72096;web-enabled Cambridge;84803;e;t;m;2022-06-14T02:49:04;robust;2022-06-13T23:33:19;overriding green Met
10;District Brand;Mexico Administrator;街 ;gr;blue 福建省;29633;Creative withdrawal;59350;Salad;25834;I;T;F;2022-06-13T22:19:26;parse;2022-06-14T03:40:33;Table
