id;wkut;prjno;subco_no;sub_ccut;co_reg_no;sub_bdgt_1;up_ccut;stype;spcw_01;spcw_02;spcw_03;spcw_04;spcw_05;spcw_06;spcw_07;spcw_08;spcw_09;spcw_10;spcw_11;spcw_12;subco_memo;met_01;met_01_b;met_01_c;met_05;met_02_f;met_01_d;met_02;met_02_b;met_04;met_03;met_03_b;met_02_c;met_02_d;met_02_e;met_01_v;met_01_bv;met_01_cv;met_05_v;met_02_fv;met_01_dv;met_02_v;met_02_bv;met_04_v;met_03_v;met_03_bv;met_02_cv;met_02_dv;met_02_ev;qchk;create_date;create_user;update_date;update_user;rmtfil;u_ip;met_06;met_07;met_08;met_09;met_10;met_11;met_12;met_13;met_14;met_15;met_16;met_99;met_06_v;met_07_v;met_08_v;met_09_v;met_10_v;met_11_v;met_12_v;met_13_v;met_14_v;met_15_v;met_16_v;met_99_v;met_99_str;confa;confb
1;facilitate green Car;transmitter sky calculating;Cred;Licensed Shoes;Soft back-end;46912;Practical;sy;H;G;m;U;i;B;福;W;c;A;v;T;Chips;W;南;I;b;G;I;O;A;S;g;R;L;G;A;68472;91359;75470;40414;19259;57360;1077;62327;64402;60278;86416;91664;17427;97227;L;2022-05-25T00:18:23;frame card;2022-05-24T19:17:26;Reactive;Secured Kuwait Buckinghamshire;deposit transmitting;H;b;g;C;e;p;西;台;S;b;P;G;45715;75552;81088;20769;7714;98571;12625;30284;64138;74099;43493;17745;Leone technologies;B;i
2;Fish vertical;Liaison;regi;Salad;Bedfordshire e-markets;55441;leverage B2C Wooden;ar;S;o;A;P;街;P;o;n;T;A;街;P;orange Developer 路;n;2;2;c;S;a;T;M;R;B;u;S;I;S;46009;40820;12388;52026;80919;57087;67696;4133;75845;98773;96625;52787;89591;47914;O;2022-05-24T18:38:55;路 Centralized Metal;2022-05-24T19:50:08;CSS Exclusive Applic;Refined;fuchsia Handcrafted Market;d;S;w;T;r;B;w;B;D;p;t;B;79202;49044;60253;30668;46360;2325;26480;70834;98298;21441;80304;8753;composite Account Branding;P;C
3;value-added;Persevering firewall;Avon;bandwidth;Enhanced withdrawal;24198;Assurance;福建;s;C;s;s;T;B;l;G;d;R;L;T;Principal Re-contextualized;L;M;E;N;A;D;K;A;H;S;c;I;C;f;84387;39221;79625;373;35607;53072;97930;64242;21468;17356;71125;3619;78549;12790;L;2022-05-25T08:21:11;Taka Developer;2022-05-25T03:49:30;Dynamic Savings;payment;mindshare solutions neutral;c;G;S;p;p;s;w;s;A;m;C;s;45870;77619;97013;27735;94766;84483;81517;57569;93523;49062;20868;22356;SMTP Regional;西;O
4;Gorgeous index Checki;vertical Handcrafted bandwidth;bott;SQL;Account;40061;Licensed;Hu;M;C;r;T;S;S;c;S;C;G;B;西;transition;B;G;C;G;C;i;d;O;C;A;O;D;o;f;26764;37328;82410;35533;98568;33651;63963;16212;74879;39778;45071;74962;80906;93414;M;2022-05-25T01:56:42;Corporate 西路 seize;2022-05-25T11:27:28;interfaces reboot;Human Practical;Generic;m;M;Q;A;a;F;r;R;W;F;b;c;42258;11219;98436;67924;72082;8654;91882;29322;22689;19408;82915;37922;firewall;c;R
5;Associate Soft;Jamaican Central blue;街;panel Generic;magenta Democratic;97523;Universal Producer;Av;G;G;西;T;R;p;R;i;M;G;r;p;deploy regional;S;i;北;w;c;a;M;A;I;w;T;東;s;C;16942;88051;38861;21975;70750;8442;99061;86828;97214;60484;39221;9702;98232;11411;p;2022-05-25T07:29:34;Fantastic;2022-05-25T12:40:59;Wooden;Pa'anga turquoise Card;microchip Finland;福;I;北;m;c;M;S;q;街;s;A;p;76852;86947;205;94485;26437;5360;51405;37479;67432;18445;36390;95513;Chief invoice;福;I
6;Berkshire SAS;Bolivar Synchronised;tran;ADP;Granite;83325;Usability Salad;Er;m;N;i;e;b;C;G;c;t;G;m;m;Borders 台灣省 e-tailers;G;R;北;P;i;東;a;S;P;D;n;A;福;o;22007;97854;7498;24880;44263;63882;57177;73507;27965;66227;33695;59238;89208;42364;d;2022-05-25T10:22:07;iterate;2022-05-25T03:11:28;Buckinghamshire seam;Account overriding;open-source defect;B;S;A;E;D;b;A;H;P;T;B;D;3294;73538;792;44923;41279;22893;62763;28341;42650;45536;94738;34937;Product incremental;P;U
7;empower white;payment;Bedf;東路 Sleek relationshi;ADP;22946;Down-sized;wi;C;L;p;w;C;a;G;F;台;G;R;P;algorithm reinvent;d;C;L;s;V;L;G;F;c;a;C;南;m;o;88618;92203;34412;8999;3720;86867;76256;42521;91165;25882;95962;23952;19244;66463;O;2022-05-25T14:08:36;Baby value-added;2022-05-25T08:04:19;connect Specialist G;Soap;Tasty transition;r;L;I;E;o;o;C;I;m;S;G;P;12992;23015;45245;80997;35120;82797;69086;62237;28642;49447;57301;94821;seize;A;o
8;connecting synthesizi;Cheese Won;Loan;reinvent Malaysian S;Russian virtual;89961;Bedfordshire;南路;s;F;d;C;v;E;m;U;s;S;T;p;台灣省 Cambridgeshire compress;G;S;B;S;D;R;C;S;p;福;t;J;G;E;40267;20314;85363;13068;79152;32278;50218;18606;11579;53505;68704;8769;12544;44654;a;2022-05-25T13:05:16;e-markets Specialist;2022-05-25T10:33:30;Networked system-wor;Cotton grey;index engineer 福建省;s;C;v;s;T;p;s;m;m;c;i;L;2095;24793;35947;81247;78028;95640;17276;34653;95524;26613;43765;52876;Buckinghamshire Chips;U;b
9;neural product;Agent;Mark;payment;東路 Tuna;42015;quantify networks Ma;Pa;B;F;F;w;P;M;C;H;D;R;o;c;Senior Versatile Shoes;M;s;B;o;I;m;B;C;路;A;P;L;B;C;72388;98903;42067;94618;56438;80670;2241;11353;32552;94154;62045;53805;78894;83939;西;2022-05-24T21:44:31;synthesizing;2022-05-25T11:18:55;haptic Marketing;matrix 台灣省 Pants;quantify Saudi;S;S;S;B;T;e;E;s;o;m;S;B;14623;62721;25066;11904;72176;36365;92676;58535;68436;54084;76221;76969;Seychelles;西;h
10;bandwidth Grocery ext;back-end;solu;路 Buckinghamshire Do;Ameliorated transmitting;66036;JBOD Integration gen;Pr;c;r;b;E;S;b;R;t;i;i;L;台;communities Tuna;S;w;v;U;I;福;d;R;s;s;g;i;D;o;82774;2500;28985;71090;21830;2763;18686;76534;14070;81997;86311;60830;15569;39465;I;2022-05-25T03:45:17;西路;2022-05-25T02:47:55;Outdoors software;payment;AGP Gorgeous Jamaica;c;I;H;B;福;I;m;c;C;I;h;b;26436;96787;4510;44155;29499;4057;24963;29376;55657;41422;36959;70003;sky;m;F
