user_id;project_code;create_user;create_time;update_user;update_time
3cd714af-cf61-4b3c-8;Avon Personal synerg;infrastructures Comp;2022-05-06T00:53:26;Rubber;2022-05-05T19:45:20
c85672cb-4ed8-4430-8;Rustic Borders Confi;mobile payment;2022-05-05T18:40:49;management;2022-05-05T09:18:30
4e87367f-8376-4d7a-b;eyeballs invoice;Cambridgeshire;2022-05-05T15:28:58;Chicken Officer;2022-05-05T04:48:32
c99165aa-7049-4b3c-8;Bike;Quality India Custom;2022-05-05T23:12:02;Representative;2022-05-05T18:01:43
f74a12ca-817b-4253-a;calculate groupware ;SCSI;2022-05-06T02:31:30;Awesome product;2022-05-05T16:40:02
34092841-0a11-44dc-b;payment 福建省 Dirham;end-to-end SAS;2022-05-06T01:43:06;Sports SMTP Personal;2022-05-05T19:55:30
a2d78c2b-02d0-43ee-b;IB Phased;Czech;2022-05-05T13:51:38;calculate Security;2022-05-05T15:23:14
13d74eb8-606d-442f-b;Bedfordshire Refined;Poland;2022-05-05T19:05:34;Operations;2022-05-06T01:19:55
24341289-b005-49d4-b;up;capacitor;2022-05-05T15:18:05;Solutions methodical;2022-05-05T20:15:31
3810393e-7da5-419f-b;deposit;Salad connecting;2022-05-05T23:29:48;XML Consultant neura;2022-05-05T20:39:21
