id;wkut;prjno;syr;month;chkunit;mft;ptrate;ptrate_1;atrate;atrate_1;mfas;create_date;create_user;update_date;update_user;u_ip;mftno
1;platforms Analyst Ope;neural innovate band;PNG;So;Creative;rel;23084;63738;91620;76285;payment;2022-07-25T13:22:45;Sleek Avon Grass-roo;2022-07-25T18:16:41;hard microchip;multi-byte;invoice
2;Avon;web-readiness 6th ca;Zea;de;Account cyan Optiona;Fro;71509;84457;56842;37305;bypassing Peso;2022-07-26T00:46:33;magenta primary;2022-07-26T02:15:05;hacking Principal;iterate;Cambridgeshire Rubbe
3;Granite Multi-lateral;Future;Lil;福建;primary National Nat;aux;31611;28923;99024;84087;Ecuador;2022-07-25T21:24:17;Borders;2022-07-25T09:25:53;Response salmon 西路;台灣省 bottom-line;北路 Won
4;Security Soft;SQL;tec;cy;d'Ivoire users Agent;SQL;45693;5016;21851;75928;Yen transition;2022-07-25T07:49:42;Bolivia fuchsia;2022-07-25T15:49:26;Mexican deposit;Beauty virtual;Metrics 福建省 福建省
5;福建省 invoice Engineer;Supervisor;Lea;Ta;Extended Islands 路;ala;40323;57387;47976;68619;Quetzal infrastructures Rial;2022-07-26T03:42:14;program;2022-07-25T17:42:06;福建省;SSL Concrete;福建省 Fish invoice
6;niches connect COM;Plastic matrix;Oro;we;tan;syn;69015;11453;7921;88099;global;2022-07-25T23:25:33;withdrawal De-engine;2022-07-25T21:11:42;Configuration;wireless;Soap Loan transmitte
7;Small Customizable;Cotton granular Exte;lav;fe;福建省 Personal Handmad;Avo;7378;88016;14370;34603;connecting Liaison Buckinghamshire;2022-07-26T06:56:49;Buckinghamshire;2022-07-25T17:22:03;福建省;Optional Specialist Keyboard;福建省 monitor THX
8;Bulgaria Progressive ;台灣省;Pro;ey;olive;bac;57317;4955;57971;1517;white;2022-07-25T09:57:36;capacitor;2022-07-25T16:27:05;Automotive Automotiv;drive;東路 benchmark
9;Universal;Principal;Com;FT;d'Ivoire 福建省;GB ;57455;23621;96308;75581;redefine circuit;2022-07-25T15:07:18;global RAM;2022-07-25T07:56:10;reboot Kuna;online invoice;Rustic
10;enterprise;Boliviano Account Fu;Woo;福建;transitional;Ric;20838;40718;35790;85157;pixel silver Fresh;2022-07-25T08:26:03;invoice Steel haptic;2022-07-26T03:05:21;北路 disintermediate;whiteboard;District
