id;wkut;prjno;idate;type;scope;arlt;day;deadline;fcost_3;afal;item_1;item_2;aok_date;dsts;create_date;create_user;update_date;update_user;fckdat;fokdat;ackdat;chker_1;chker_2;fcksdat;fckedat;acksdat;ackedat;fdays;adays
1;gold Account Future;Front-line;2022-07-19;U;t;福;38797;2022-07-19;99810;interfaces;Gold;Beauty;2022-07-19;b;2022-07-19T00:41:15;台灣省 Berkshire;2022-07-18T16:59:04;e-business 路;2022-07-18;2022-07-18;2022-07-19;connect Fantastic in;connect;2022-07-19;2022-07-19;2022-07-19;2022-07-18;13194;97131
2;red Malta;gold Toys;2022-07-19;C;i;s;49682;2022-07-19;44521;parsing monitor;tan;Garden;2022-07-18;A;2022-07-19T02:51:57;convergence calculat;2022-07-19T03:37:51;Plastic JBOD unleash;2022-07-19;2022-07-19;2022-07-19;Rupee alliance back-;generating;2022-07-19;2022-07-19;2022-07-19;2022-07-19;65481;73385
3;Account 西路 redundant;Optimization 南路;2022-07-18;M;T;P;7471;2022-07-18;31165;microchip grey;digital;index Bedfordshire;2022-07-19;A;2022-07-19T00:02:18;Cotton;2022-07-18T22:38:35;Factors Barbados Dir;2022-07-19;2022-07-18;2022-07-19;Tools;Music Communications;2022-07-19;2022-07-19;2022-07-19;2022-07-19;47328;47822
4;Fish Buckinghamshire;HDD;2022-07-19;M;台;p;5079;2022-07-18;66416;whiteboard indexing;Monetary;Handmade 西路;2022-07-19;i;2022-07-19T10:32:28;e-markets;2022-07-18T15:53:26;Metal multi-byte Clo;2022-07-18;2022-07-18;2022-07-19;Frozen Dynamic depos;Director brand;2022-07-19;2022-07-19;2022-07-19;2022-07-19;56488;84232
5;HDD stable Cotton;Cyprus Future-proofed;2022-07-18;p;y;S;21280;2022-07-18;51996;navigate;Rustic Rubber harness;Guernsey Islands;2022-07-19;t;2022-07-19T13:31:56;firewall Lev Web;2022-07-19T10:48:49;Chips Gorgeous Austr;2022-07-18;2022-07-18;2022-07-19;Lead invoice;Account Future-proof;2022-07-19;2022-07-19;2022-07-19;2022-07-18;10807;80561
6;redundant 南路;reboot Specialist;2022-07-19;o;T;A;19813;2022-07-19;1401;technologies;bluetooth index 路;Account ivory Malawi;2022-07-19;c;2022-07-19T00:00:06;福建省;2022-07-18T15:52:05;Account Salvador Acc;2022-07-19;2022-07-19;2022-07-18;fresh-thinking envis;state 街 Dynamic;2022-07-19;2022-07-19;2022-07-19;2022-07-19;79124;94748
7;Account alarm;Specialist Handcrafted;2022-07-18;D;l;L;66668;2022-07-19;23040;Table Jamaican;mobile;bypassing card;2022-07-18;F;2022-07-19T12:35:55;Self-enabling Garden;2022-07-18T15:34:16;withdrawal navigate ;2022-07-18;2022-07-18;2022-07-19;Frozen;Licensed Incredible;2022-07-18;2022-07-19;2022-07-19;2022-07-19;10807;88961
8;Zimbabwe capacitor Ba;product envisioneer Avon;2022-07-18;t;H;b;12523;2022-07-19;41710;integrated Investor;Polarised payment;Vision-oriented Forward;2022-07-18;d;2022-07-19T04:10:25;Group;2022-07-19T02:40:40;deposit;2022-07-19;2022-07-18;2022-07-19;web-enabled Kwanza;Creative ubiquitous;2022-07-18;2022-07-19;2022-07-18;2022-07-19;58255;43261
9;bluetooth;payment 西路 Zealand;2022-07-18;S;A;t;77929;2022-07-18;9898;solid invoice eyeballs;Specialist;Programmable innovative hacking;2022-07-19;s;2022-07-19T05:38:45;enhance Cambridgeshi;2022-07-19T07:31:30;Refined robust neura;2022-07-18;2022-07-18;2022-07-18;disintermediate;Facilitator 福建省;2022-07-19;2022-07-18;2022-07-18;2022-07-18;54945;14798
10;台灣省;Human Implemented card;2022-07-19;A;台;a;77531;2022-07-18;26799;Specialist;Account;Facilitator;2022-07-19;e;2022-07-19T12:36:35;Bedfordshire;2022-07-19T05:07:27;Pizza;2022-07-19;2022-07-19;2022-07-19;Plastic 福建省;intranet;2022-07-18;2022-07-19;2022-07-18;2022-07-19;29864;48147
