id;user_id;role_id;update_user;update_time
1;TCP Proactive;index productivity H;New Chips;2022-06-23T15:29:11
2;Singapore process;contingency Anguilla;Cambridgeshire hacki;2022-06-24T00:24:47
3;open-source;台灣省 deposit schemas;Garden Wooden;2022-06-24T02:17:36
4;Wooden;Handcrafted;Incredible;2022-06-23T06:54:58
5;invoice;Electronics;Fantastic;2022-06-23T21:40:41
6;東路;overriding invoice;backing withdrawal p;2022-06-24T00:14:03
7;台灣省 JSON Tuna;olive pink;pixel Mauritius Unit;2022-06-24T01:38:23
8;PCI Outdoors;fuchsia user-facing ;networks 南路;2022-06-23T06:27:59
9;Books cross-platform;withdrawal;leverage;2022-06-23T05:37:51
10;wireless Intranet;navigating Account C;scalable Personal;2022-06-23T15:49:21
