pro_information_role_id;pro_information_id;role;update_time;update_user;create_time;create_user
1;9148;overriding 台灣省 deposit;2022-02-13T23:53:02;台灣省 台灣省 Administrato;2022-02-13T13:20:53;Sports deposit
2;47876;communities;2022-02-13T22:34:20;Central Triple-buffe;2022-02-13T09:09:04;Nakfa
3;81056;北路 Guinea-Bissau Director;2022-02-14T02:11:47;Regional;2022-02-14T03:24:54;network
4;23621;productivity quantifying;2022-02-14T01:19:38;invoice;2022-02-13T08:23:23;Borders deposit
5;82635;Frozen FTP;2022-02-13T07:58:08;Intelligent;2022-02-13T14:45:57;Soft primary 街
6;14693;北路;2022-02-13T19:52:07;Tasty;2022-02-13T21:34:58;24/365
7;74789;Tokelau ivory;2022-02-13T13:02:42;wireless;2022-02-14T01:28:28;programming 北路 Bucki
8;66140;mission-critical Customer copying;2022-02-14T03:17:57;Engineer blue 街;2022-02-13T14:06:13;online bandwidth
9;69593;salmon;2022-02-13T19:09:00;local Small Republic;2022-02-13T19:00:03;Account
10;83957;haptic;2022-02-14T04:13:39;coherent leading-edg;2022-02-13T20:58:36;AGP Colombian transm
