role_id;role_name;role_descript;business_category;update_user;update_time
1fbca53e-ba6d-4404-a;Chief override Borde;holistic;福建省 Tuna P;Health 台灣省;2022-06-23T21:02:22
3f870fa4-38d0-4056-b;disintermediate;西路 program models;Response F;back-end partnership;2022-06-23T08:33:45
2c1839f0-515f-498f-9;北路 encoding;Berkshire Namibia 台灣省;bluetooth;applications Innovat;2022-06-23T12:59:05
19570221-41b1-4fdc-9;indigo 街 Internation;analyzer;New 福建省 pa;Product;2022-06-23T16:57:46
7df09c81-bf5e-4bbb-9;indigo Barbados;programming;US capacit;Metal 南路;2022-06-23T23:45:32
7c2bdd75-a7a0-44c7-8;input;open JSON Account;mobile Eur;台灣省;2022-06-23T10:42:42
0681f67e-9def-4fcf-9;Usability bluetooth ;Islands monitor 台灣省;embrace;drive 西路;2022-06-23T07:36:41
15ddebbd-5439-41bd-8;Generic Hat;Franc;Berkshire;Interface Riel Bedfo;2022-06-24T06:51:56
5877a7c3-5ecd-44db-8;Metrics;holistic auxiliary;quantify S;maximized;2022-06-23T15:08:11
8cc1d4c2-2d2c-4379-9;Investor;Tasty interface Legacy;Money Cott;focus implement Seni;2022-06-23T12:19:38
