id;role_id;function_id;update_user;update_time
1;Computers;firewall;leading;2021-12-10T03:32:49
2;monitor Gorgeous gen;users Nevis Iranian;TCP Tuna;2021-12-09T22:20:35
3;Ergonomic East;explicit;orchid purple;2021-12-09T04:30:17
4;Pakistan calculate B;tan;redefine;2021-12-09T14:37:11
5;北路 calculating 台灣省;Soft;SDD;2021-12-09T19:49:01
6;街 Account;Toys Guiana;Operative;2021-12-09T19:24:33
7;Savings Global solut;cultivate Frozen Met;Assurance Future;2021-12-09T15:15:34
8;calculating distribu;Cambridgeshire withd;algorithm Pula;2021-12-09T06:12:56
9;Berkshire;architectures;JBOD Quality;2021-12-09T19:43:34
10;Sausages;Polarised e-markets;Table 福建省 strategy;2021-12-09T09:37:35
