pro_innovative_product_id;accepted_organization;account_id;innovate_type;innovate_function;innovate_quality;innovate_prove;innovate_case_name;status;innovate_name;patent;patent_start_date;patent_end_date;construct_cost;maintain_cost;communicate_date;communicate_doc_number;innovate_case_vendor;innovate_case_scale;update_user;update_time;create_user;create_time
9133d46d-4;Orchestrator quantify;array virtual;fo;parse web Technician;input service-desk sensor;Assistant specifically Intelligent;Account implementation Som;U;Islands matrix;B;2022-04-18T20:42:45;2022-04-18T07:56:29;Granite Credit;Marketing well-modulated back-end;2022-04-19T01:03:33;Handmade;Accountability Concrete Rial;Fish orange salmon;methodology;2022-04-18T07:41:53;南路 Decentralized dep;2022-04-18T08:20:47
65a7612d-5;Account Lithuania Organic;西路;福建;Hat services Dynamic;PCI Ball portal;architect;redundant Loan Central;c;bus;P;2022-04-18T04:15:36;2022-04-18T07:01:00;Solutions PCI;Regional;2022-04-18T21:53:24;福建省 Investment evolve;incentivize;services;Borders Integration ;2022-04-18T03:33:33;PCI Upgradable;2022-04-18T05:50:40
497a9af8-0;Cuba;bandwidth Industrial;pr;Sausages 街;calculating Borders 1080p;ROI Fantastic Marketing;e-tailers 福建省 regional;C;bypassing Assimilated;a;2022-04-18T04:09:16;2022-04-18T03:44:21;Account Monitored 街;Games;2022-04-18T03:42:03;optimize encompassing;Chicken;Research up Keyboard;metrics;2022-04-18T10:02:21;Chicken Adaptive cli;2022-04-18T12:47:33
6258ade6-1;Health synthesize;Optimized overriding;Ha;JSON Shoes;Senior hacking;Marketing productivity;deposit Buckinghamshire Division;I;Dollar payment lavender;K;2022-04-19T01:21:05;2022-04-18T19:59:43;西路;Granite extensible;2022-04-18T23:34:36;Peso markets Concrete;街;deposit;content Metrics maro;2022-04-18T23:20:19;台灣省;2022-04-19T01:25:37
f7043746-2;disintermediate architectures;福建省;ca;override;digital payment 路;Plastic Gorgeous Personal;台灣省 Health;B;bypass Sausages integrated;p;2022-04-19T01:29:55;2022-04-18T15:52:03;Sleek;西路;2022-04-18T19:18:50;Ergonomic Handcrafted payment;ivory 福建省;Planner USB;Books Plastic Seyche;2022-04-18T16:29:51;algorithm Human;2022-04-18T22:22:05
fea7ec34-5;wireless Re-engineered;initiatives Realigne;Pa;data-warehouse;SQL;Security;array Clothing;i;Electronics Soft;n;2022-04-18T03:58:44;2022-04-18T21:13:08;街 target frictionless;help-desk Director;2022-04-18T23:31:26;lime;Real azure;morph plug-and-play;deposit;2022-04-18T06:05:08;analyzing;2022-04-18T21:21:00
9820d2a8-4;Refined;coherent up;台灣;pink;AI Democratic;plum Granite Lesotho;web-enabled Kids;g;Account Oro Steel;s;2022-04-18T16:45:08;2022-04-18T23:46:36;Tanzanian;synthesize XSS 台灣省;2022-04-19T01:59:29;lavender ivory Ergonomic;synthesizing;Dynamic Frozen;Planner markets alar;2022-04-18T21:30:50;Ruble Borders;2022-04-19T00:06:18
33457e51-8;Avon Applications Rupiah;focus generate Avon;pr;東路;azure;maroon Buckinghamshire virtual;matrix COM;m;Architect Borders Seychelles;e;2022-04-18T11:39:23;2022-04-18T07:27:11;overriding Intelligent;Seychelles primary;2022-04-18T16:21:26;Ngultrum SAS Designer;Borders quantify;Krona index RAM;bottom-line ivory co;2022-04-18T10:32:18;Representative 街 台灣省;2022-04-18T19:31:38
768ca07d-0;Representative payment Focused;Concrete Refined Ind;Co;路 robust;Personal;FTP wireless;Towels;m;core interface payment;A;2022-04-18T11:30:40;2022-04-18T07:10:41;background program;backing;2022-04-18T08:28:08;東路 Bedfordshire Car;1080p Direct Unbranded;Islands Denar;withdrawal Chair 福建省;2022-04-18T06:42:51;overriding sky Savin;2022-04-18T03:50:00
63a1284c-c;Data 福建省 holistic;Car Jewelery;Sa;matrix Awesome Plastic;Metal Romania;Human calculate;Graphic;G;Tools;I;2022-04-19T00:17:53;2022-04-18T18:03:38;Loan array;Chair Optimization Total;2022-04-18T21:28:45;Optimization;Tasty;reintermediate portals;Liberian;2022-04-19T00:24:04;街 Compatible;2022-04-19T01:45:43
