id;module_type;business_type;source_id;file_type;file_name_ori;file_name;file_remark;s_3_url;create_user;create_time;update_user;update_time
1;gen;Car connect navigating;Phased Buckinghamshire;Games inte;Automotive Cayman driver;Hat Avon CSS;multi-byte Centralized;olive;Bedfordshire 西路 Tabl;2022-03-01T14:13:18;HDD web-enabled Fund;2022-03-01T19:10:57
2;Gro;Customer;Extended;deploy;Fresh;override Fresh;Executive;Auto e-commerce;Concrete;2022-03-01T17:58:39;strategic;2022-03-01T04:30:24
3;syn;Licensed Personal;parsing;Home fuchs;Handmade Bedfordshire;Business-focused back-end Investment;purple;customized;Buckinghamshire conv;2022-03-01T06:07:44;revolutionary Centra;2022-03-02T01:53:53
4;Age;EXE wireless;hack Bedfordshire;CSS;methodologies;transmit;Kitts Small;南路 Internal Soft;Fantastic copy Gorge;2022-03-01T16:17:58;innovate;2022-03-02T01:13:26
5;台灣省;Account;transmitting;Account;navigate payment Supervisor;Direct quantify;strategic;福建省 Tuna;connecting;2022-03-01T22:27:51;Awesome;2022-03-01T15:15:36
6;Dec;metrics calculating;supply-chains invoice COM;Licensed O;programming;Supervisor SMS Cambridgeshire;Plastic withdrawal 台灣省;Frozen actuating even-keeled;Chief Steel COM;2022-03-01T14:43:39;needs-based continge;2022-03-01T13:15:42
7;台灣省;Plastic firmware;Operations;Shirt;Gorgeous override;Granite;e-services;Cotton Cyprus Turkmenistan;Direct eco-centric;2022-03-02T00:40:58;SAS Wooden;2022-03-02T00:27:16
8;pro;asynchronous New Applications;structure;Samoa Supe;capacitor;application;Consultant 24/7;online;Bedfordshire Researc;2022-03-01T13:19:10;Granite;2022-03-01T16:39:13
9;sil;Shirt whiteboard Automotive;Cotton 福建省 Gibraltar;Seamless;deposit Tasty ROI;Gorgeous maximized;Soft intranet;SMTP compressing;Keyboard;2022-03-01T06:24:34;SQL HDD 福建省;2022-03-01T05:04:00
10;arc;東路;Zloty;Communicat;Account Tools;CSS neural;China;complexity program;protocol Gloves Groc;2022-03-01T19:23:42;uniform infrastructu;2022-03-01T15:05:27
