id;user_id;apply_time;approve_time;status;module_type;update_user;update_time;create_user;create_time
1;Consultant Pants tur;2022-05-11T14:22:15;2022-05-11T22:21:17;G;路 福;Chips;2022-05-11T14:43:33;platforms hacking;2022-05-12T08:00:48
2;Bahamian harness;2022-05-12T02:10:43;2022-05-11T14:39:10;M;Niu;synthesize;2022-05-11T22:39:32;bricks-and-clicks;2022-05-12T02:58:13
3;Rubber Wooden EXE;2022-05-11T13:17:47;2022-05-12T02:21:47;東;Clo;Pre-emptive Industri;2022-05-11T10:08:35;yellow;2022-05-12T02:03:53
4;multimedia turquoise;2022-05-11T11:53:17;2022-05-12T03:59:14;m;Kon;transmitting Wooden;2022-05-11T22:42:41;Licensed mobile;2022-05-11T11:02:28
5;feed;2022-05-11T23:34:04;2022-05-11T10:26:55;b;par;user-centric 北路;2022-05-12T07:54:53;firewall maroon;2022-05-12T08:21:39
6;Assimilated;2022-05-12T04:23:56;2022-05-11T18:45:31;p;台灣省;Incredible morph ubi;2022-05-11T10:23:33;Assistant;2022-05-11T14:07:25
7;台灣省;2022-05-12T03:02:30;2022-05-11T15:30:26;a;USB;Operations seize Sec;2022-05-11T21:28:32;transmitting markets;2022-05-11T21:59:53
8;virtual e-markets;2022-05-11T21:25:04;2022-05-11T11:26:22;L;bac;e-business;2022-05-11T19:05:58;Pizza product 東路;2022-05-11T19:10:48
9;syndicate;2022-05-11T09:25:01;2022-05-12T04:25:53;n;rec;Garden;2022-05-11T16:47:20;路;2022-05-11T12:19:37
10;Generic SQL;2022-05-11T09:11:50;2022-05-11T23:20:40;H;wir;Ergonomic Buckingham;2022-05-12T04:35:57;maroon implement up;2022-05-12T06:07:58
